,potential,iteration
0,0.125,4999
1,0.25,4999
2,0.25,4999
3,0.25,4999
4,0.25,4999
5,0.0,422
6,0.125,4999
7,0.25,4999
8,0.25,4999
9,0.25,4999
10,0.25,4999
11,0.0,298
12,0.0,3668
13,0.25,4999
14,0.25,4999
15,0.0,257
16,0.0,2959
17,0.0,1175
18,0.25,4999
19,0.0,1168
20,0.25,4999
21,0.0,429
22,0.0,3507
23,0.25,4999
24,0.0,3757
25,0.125,4999
26,0.125,4999
27,0.25,4999
28,0.0,226
29,0.0,561
30,0.0,357
31,0.0,1138
32,0.25,4999
33,0.0,1159
34,0.0,2755
35,0.125,4999
36,0.25,4999
37,0.25,4999
38,0.25,4999
39,0.0,2426
40,0.5,4999
41,0.5,4999
42,0.0,250
43,0.0,110
44,0.25,4999
45,0.25,4999
46,0.0,4131
47,0.25,4999
48,0.25,4999
49,0.0,346
50,0.0,3535
51,0.0,79
52,0.125,4999
53,0.0,825
54,0.0,335
55,0.25,4999
56,0.0,411
57,0.25,4999
58,0.25,4999
59,0.25,4999
60,0.0,4237
61,0.0,103
62,0.25,4999
63,0.0,1592
64,0.25,4999
65,0.25,4999
66,0.25,4999
67,0.0,1695
68,0.0,1522
69,0.0,3020
70,0.0,1210
71,0.0,412
72,0.25,4999
73,0.25,4999
74,0.25,4999
75,0.25,4999
76,0.0,2026
77,0.25,4999
78,0.25,4999
79,0.0,110
80,0.0,224
81,0.0,2017
82,0.0,215
83,0.25,4999
84,0.0,343
85,0.0,750
86,0.0,1244
87,0.25,4999
88,0.5,4999
89,0.0,319
90,0.25,4999
91,0.25,4999
92,0.0,797
93,0.0,1218
94,0.0,474
95,0.25,4999
96,0.0,1314
97,0.0,3745
98,0.25,4999
99,0.25,4999
100,0.0,341
101,0.0,219
102,0.25,4999
103,0.25,4999
104,0.0,860
105,0.0,3916
106,0.25,4999
107,0.0,764
108,0.0,2597
109,0.0,3914
110,0.0,3154
111,0.0,1543
112,0.25,4999
113,0.0,3487
114,0.0,1426
115,0.25,4999
116,0.0,251
117,0.0,3103
118,0.0,1238
119,0.25,4999
120,0.25,4999
121,0.0,4500
122,0.0,1623
123,0.0,527
124,0.0,248
125,0.0,582
126,0.0,254
127,0.0,415
128,0.0,1770
129,0.25,4999
130,0.5,4999
131,0.25,4999
132,0.0,1035
133,0.25,4999
134,0.0,85
135,0.25,4999
136,0.0,3243
137,0.25,4999
138,0.0,2368
139,0.25,4999
140,0.25,4999
141,0.25,4999
142,0.25,4999
143,0.0,368
144,0.25,4999
145,0.0,696
146,0.0,1074
147,0.5,4999
148,0.25,4999
149,0.25,4999
150,0.0,411
151,0.125,4999
152,0.0,2017
153,0.0,634
154,0.0,532
155,0.25,4999
156,0.0,762
157,0.25,4999
158,0.0,1337
159,0.0,2377
160,0.0,599
161,0.0,1069
162,0.0,1925
163,0.375,4999
164,0.0,4533
165,0.125,4999
166,0.0,1503
167,0.0,893
168,0.0,1772
169,0.0,1191
170,0.25,4999
171,0.25,4999
172,0.25,4999
173,0.0,2216
174,0.0,3880
175,0.0,1106
176,0.25,4999
177,0.0,411
178,0.0,1744
179,0.25,4999
180,0.0,192
181,0.0,843
182,0.0,1491
183,0.0,1127
184,0.5,4999
185,0.25,4999
186,0.25,4999
187,0.0,161
188,0.0,2834
189,0.0,280
190,0.0,103
191,0.0,3410
192,0.25,4999
193,0.0,282
194,0.0,1178
195,0.25,4999
196,0.0,4104
197,0.0,3227
198,0.25,4999
199,0.125,4999
200,0.25,4999
201,0.0,2291
202,0.25,4999
203,0.0,203
204,0.0,4378
205,0.5,4999
206,0.0,248
207,0.0,348
208,0.0,1537
209,0.25,4999
210,0.0,119
211,0.0,250
212,0.1875,4999
213,0.25,4999
214,0.0,1645
215,0.25,4999
216,0.25,4999
217,0.0,4675
218,0.0,723
219,0.25,4999
220,0.0,587
221,0.25,4999
222,0.25,4999
223,0.0,540
224,0.0,74
225,0.25,4999
226,0.5,4999
227,0.0,60
228,0.0,551
229,0.25,4999
230,0.0,3184
231,0.25,4999
232,0.0,3563
233,0.125,4999
234,0.125,4999
235,0.25,4999
236,0.0,1261
237,0.0,945
238,0.0,2542
239,0.0,570
240,0.0,587
241,0.0,429
242,0.0,262
243,0.25,4999
244,0.25,4999
245,0.0,915
246,0.0,340
247,0.0,375
248,0.0,2236
249,0.25,4999
250,0.0,2088
251,0.0,160
252,0.0,1078
253,0.0,448
254,0.0,689
255,0.0,449
256,0.25,4999
257,0.375,4999
258,0.25,4999
259,0.25,4999
260,0.0,3937
261,0.25,4999
262,0.0,2256
263,0.25,4999
264,0.25,4999
265,0.25,4999
266,0.0,1009
267,0.25,4999
268,0.0,2529
269,0.0,475
270,0.25,4999
271,0.0,391
272,0.0,2347
273,0.25,4999
274,0.0,1190
275,0.0,216
276,0.125,4999
277,0.0,133
278,0.4375,4999
279,0.0,83
280,0.25,4999
281,0.25,4999
282,0.0,3199
283,0.25,4999
284,0.5,4999
285,0.0,768
286,0.0,3787
287,0.0,252
288,0.0,265
289,0.25,4999
290,0.0,3959
291,0.0,2982
292,0.25,4999
293,0.0,2407
294,0.0,819
295,0.125,4999
296,0.0,1552
297,0.0,1040
298,0.0,2094
299,0.0,2566
