,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.25,2999,3000,10,,15,5,0.06
1,0.0,2204,3000,10,,15,5,0.06
2,0.0,172,3000,10,,15,5,0.06
3,0.25,2999,3000,10,,15,5,0.06
4,0.0,2539,3000,10,,15,5,0.06
5,0.0,521,3000,10,,15,5,0.06
6,0.0,2682,3000,10,,15,5,0.06
7,0.25,2999,3000,10,,15,5,0.06
8,0.0,670,3000,10,,15,5,0.06
9,0.25,2999,3000,10,,15,5,0.06
10,0.25,2999,3000,10,,15,5,0.06
11,0.25,2999,3000,10,,15,5,0.06
12,0.0,2532,3000,10,,15,5,0.06
13,0.25,2999,3000,10,,15,5,0.06
14,0.0,971,3000,10,,15,5,0.06
15,0.25,2999,3000,10,,15,5,0.06
16,0.25,2999,3000,10,,15,5,0.06
17,0.0,206,3000,10,,15,5,0.06
18,0.0,1975,3000,10,,15,5,0.06
19,0.0,793,3000,10,,15,5,0.06
20,0.0,817,3000,10,,15,5,0.06
21,0.5,2999,3000,10,,15,5,0.06
22,0.25,2999,3000,10,,15,5,0.06
23,0.25,2999,3000,10,,15,5,0.06
24,0.25,2999,3000,10,,15,5,0.06
25,0.0,622,3000,10,,15,5,0.06
26,0.0,1028,3000,10,,15,5,0.06
27,0.25,2999,3000,10,,15,5,0.06
28,0.0,487,3000,10,,15,5,0.06
29,0.0,101,3000,10,,15,5,0.06
30,0.0,331,3000,30,,15,5,0.06
31,0.25,2999,3000,30,,15,5,0.06
32,0.25,2999,3000,30,,15,5,0.06
33,0.5,2999,3000,30,,15,5,0.06
34,0.25,2999,3000,30,,15,5,0.06
35,0.0,228,3000,30,,15,5,0.06
36,0.25,2999,3000,30,,15,5,0.06
37,0.25,2999,3000,30,,15,5,0.06
38,0.0,155,3000,30,,15,5,0.06
39,0.0,2095,3000,30,,15,5,0.06
40,0.25,2999,3000,30,,15,5,0.06
41,0.25,2999,3000,30,,15,5,0.06
42,0.0,2997,3000,30,,15,5,0.06
43,0.0,1678,3000,30,,15,5,0.06
44,0.25,2999,3000,30,,15,5,0.06
45,0.125,2999,3000,30,,15,5,0.06
46,0.0,1530,3000,30,,15,5,0.06
47,0.0,643,3000,30,,15,5,0.06
48,0.25,2999,3000,30,,15,5,0.06
49,0.125,2999,3000,30,,15,5,0.06
50,0.0,603,3000,30,,15,5,0.06
51,0.25,2999,3000,30,,15,5,0.06
52,0.0,2438,3000,30,,15,5,0.06
53,0.25,2999,3000,30,,15,5,0.06
54,0.0,1605,3000,30,,15,5,0.06
55,0.0,395,3000,30,,15,5,0.06
56,0.25,2999,3000,30,,15,5,0.06
57,0.25,2999,3000,30,,15,5,0.06
58,0.0,1746,3000,30,,15,5,0.06
59,0.0,1776,3000,30,,15,5,0.06
60,0.5,2999,3000,50,,15,5,0.06
61,0.0,2278,3000,50,,15,5,0.06
62,0.5,2999,3000,50,,15,5,0.06
63,0.25,2999,3000,50,,15,5,0.06
64,0.0,119,3000,50,,15,5,0.06
65,0.0,2285,3000,50,,15,5,0.06
66,0.0,914,3000,50,,15,5,0.06
67,0.0,2103,3000,50,,15,5,0.06
68,0.5,2999,3000,50,,15,5,0.06
69,0.25,2999,3000,50,,15,5,0.06
70,0.0,366,3000,50,,15,5,0.06
71,0.25,2999,3000,50,,15,5,0.06
72,0.5,2999,3000,50,,15,5,0.06
73,0.25,2999,3000,50,,15,5,0.06
74,0.25,2999,3000,50,,15,5,0.06
75,0.25,2999,3000,50,,15,5,0.06
76,0.0,2368,3000,50,,15,5,0.06
77,0.0,229,3000,50,,15,5,0.06
78,0.25,2999,3000,50,,15,5,0.06
79,0.0,1297,3000,50,,15,5,0.06
80,0.25,2999,3000,50,,15,5,0.06
81,0.25,2999,3000,50,,15,5,0.06
82,0.0,585,3000,50,,15,5,0.06
83,0.25,2999,3000,50,,15,5,0.06
84,0.25,2999,3000,50,,15,5,0.06
85,0.0,319,3000,50,,15,5,0.06
86,0.25,2999,3000,50,,15,5,0.06
87,0.0,317,3000,50,,15,5,0.06
88,0.0,126,3000,50,,15,5,0.06
89,0.25,2999,3000,50,,15,5,0.06
90,0.5,2999,3000,70,,15,5,0.06
91,0.25,2999,3000,70,,15,5,0.06
92,0.25,2999,3000,70,,15,5,0.06
93,0.0,1306,3000,70,,15,5,0.06
94,0.25,2999,3000,70,,15,5,0.06
95,0.0,2220,3000,70,,15,5,0.06
96,0.0,258,3000,70,,15,5,0.06
97,0.125,2999,3000,70,,15,5,0.06
98,0.0,1192,3000,70,,15,5,0.06
99,0.25,2999,3000,70,,15,5,0.06
100,0.25,2999,3000,70,,15,5,0.06
101,0.0,1007,3000,70,,15,5,0.06
102,0.25,2999,3000,70,,15,5,0.06
103,0.25,2999,3000,70,,15,5,0.06
104,0.0,1199,3000,70,,15,5,0.06
105,0.25,2999,3000,70,,15,5,0.06
106,0.0,1468,3000,70,,15,5,0.06
107,0.25,2999,3000,70,,15,5,0.06
108,0.0,2727,3000,70,,15,5,0.06
109,0.0,791,3000,70,,15,5,0.06
110,0.0,1055,3000,70,,15,5,0.06
111,0.0,132,3000,70,,15,5,0.06
112,0.0,55,3000,70,,15,5,0.06
113,0.0,665,3000,70,,15,5,0.06
114,0.25,2999,3000,70,,15,5,0.06
115,0.0,805,3000,70,,15,5,0.06
116,0.25,2999,3000,70,,15,5,0.06
117,0.0,1265,3000,70,,15,5,0.06
118,0.0,907,3000,70,,15,5,0.06
119,0.25,2999,3000,70,,15,5,0.06
120,0.0,78,3000,90,,15,5,0.06
121,0.25,2999,3000,90,,15,5,0.06
122,0.5,2999,3000,90,,15,5,0.06
123,0.0,269,3000,90,,15,5,0.06
124,0.25,2999,3000,90,,15,5,0.06
125,0.0,819,3000,90,,15,5,0.06
126,0.25,2999,3000,90,,15,5,0.06
127,0.25,2999,3000,90,,15,5,0.06
128,0.25,2999,3000,90,,15,5,0.06
129,0.0,1160,3000,90,,15,5,0.06
130,0.25,2999,3000,90,,15,5,0.06
131,0.25,2999,3000,90,,15,5,0.06
132,0.0,666,3000,90,,15,5,0.06
133,0.125,2999,3000,90,,15,5,0.06
134,0.25,2999,3000,90,,15,5,0.06
135,0.0,145,3000,90,,15,5,0.06
136,0.25,2999,3000,90,,15,5,0.06
137,0.0,1044,3000,90,,15,5,0.06
138,0.25,2999,3000,90,,15,5,0.06
139,0.25,2999,3000,90,,15,5,0.06
140,0.25,2999,3000,90,,15,5,0.06
141,0.0,645,3000,90,,15,5,0.06
142,0.25,2999,3000,90,,15,5,0.06
143,0.0,403,3000,90,,15,5,0.06
144,0.25,2999,3000,90,,15,5,0.06
145,0.0,107,3000,90,,15,5,0.06
146,0.25,2999,3000,90,,15,5,0.06
147,0.25,2999,3000,90,,15,5,0.06
148,0.0,1492,3000,90,,15,5,0.06
149,0.25,2999,3000,90,,15,5,0.06
150,0.0,2624,3000,110,,15,5,0.06
151,0.25,2999,3000,110,,15,5,0.06
152,0.0,156,3000,110,,15,5,0.06
153,0.0,1313,3000,110,,15,5,0.06
154,0.25,2999,3000,110,,15,5,0.06
155,0.25,2999,3000,110,,15,5,0.06
156,0.0,234,3000,110,,15,5,0.06
157,0.125,2999,3000,110,,15,5,0.06
158,0.0,1012,3000,110,,15,5,0.06
159,0.0,735,3000,110,,15,5,0.06
160,0.125,2999,3000,110,,15,5,0.06
161,0.25,2999,3000,110,,15,5,0.06
162,0.25,2999,3000,110,,15,5,0.06
163,0.25,2999,3000,110,,15,5,0.06
164,0.0,2441,3000,110,,15,5,0.06
165,0.0,520,3000,110,,15,5,0.06
166,0.375,2999,3000,110,,15,5,0.06
167,0.0,441,3000,110,,15,5,0.06
168,0.25,2999,3000,110,,15,5,0.06
169,0.1875,2999,3000,110,,15,5,0.06
170,0.0,280,3000,110,,15,5,0.06
171,0.0,663,3000,110,,15,5,0.06
172,0.25,2999,3000,110,,15,5,0.06
173,0.25,2999,3000,110,,15,5,0.06
174,0.25,2999,3000,110,,15,5,0.06
175,0.0,66,3000,110,,15,5,0.06
176,0.25,2999,3000,110,,15,5,0.06
177,0.0,1770,3000,110,,15,5,0.06
178,0.0,138,3000,110,,15,5,0.06
179,0.0,773,3000,110,,15,5,0.06
180,0.0,701,3000,130,,15,5,0.06
181,0.25,2999,3000,130,,15,5,0.06
182,0.25,2999,3000,130,,15,5,0.06
183,0.5,2999,3000,130,,15,5,0.06
184,0.0,1942,3000,130,,15,5,0.06
185,0.25,2999,3000,130,,15,5,0.06
186,0.25,2999,3000,130,,15,5,0.06
187,0.0,314,3000,130,,15,5,0.06
188,0.25,2999,3000,130,,15,5,0.06
189,0.25,2999,3000,130,,15,5,0.06
190,0.25,2999,3000,130,,15,5,0.06
191,0.25,2999,3000,130,,15,5,0.06
192,0.0,808,3000,130,,15,5,0.06
193,0.0,542,3000,130,,15,5,0.06
194,0.0,830,3000,130,,15,5,0.06
195,0.5,2999,3000,130,,15,5,0.06
196,0.25,2999,3000,130,,15,5,0.06
197,0.25,2999,3000,130,,15,5,0.06
198,0.0,358,3000,130,,15,5,0.06
199,0.25,2999,3000,130,,15,5,0.06
