,potential,step
0,0.5,0
1,0.5,1
2,0.5,2
3,0.5,3
4,0.5,4
5,0.5,5
6,0.5,6
7,0.5,7
8,0.5,8
9,0.5,9
10,0.5,10
11,0.5,11
12,0.5,12
13,0.5,13
14,0.5,14
15,0.5,15
16,0.5,16
17,0.5,17
18,0.5,18
19,0.5,19
20,0.5,20
21,0.5,21
22,0.5,22
23,0.5,23
24,0.5,24
25,0.5,25
26,0.5,26
27,0.5,27
28,0.5,28
29,0.5,29
30,0.5,30
31,0.5,31
32,0.5,32
33,0.5,33
34,0.5,34
35,0.5,35
36,0.5,36
37,0.5,37
38,0.5,38
39,0.5,39
40,0.5,40
41,0.46875,41
42,0.46875,42
43,0.46875,43
44,0.46875,44
45,0.46875,45
46,0.46875,46
47,0.46875,47
48,0.46875,48
49,0.46875,49
50,0.46875,50
51,0.46875,51
52,0.46875,52
53,0.46875,53
54,0.46875,54
55,0.4375,55
56,0.4375,56
57,0.4375,57
58,0.4375,58
59,0.4375,59
60,0.375,60
61,0.375,61
62,0.375,62
63,0.375,63
64,0.375,64
65,0.375,65
66,0.375,66
67,0.375,67
68,0.375,68
69,0.375,69
70,0.375,70
71,0.375,71
72,0.375,72
73,0.375,73
74,0.375,74
75,0.375,75
76,0.375,76
77,0.375,77
78,0.375,78
79,0.375,79
80,0.375,80
81,0.375,81
82,0.3125,82
83,0.3125,83
84,0.3125,84
85,0.3125,85
86,0.3125,86
87,0.3125,87
88,0.3125,88
89,0.3125,89
90,0.3125,90
91,0.3125,91
92,0.3125,92
93,0.3125,93
94,0.3125,94
95,0.3125,95
96,0.3125,96
97,0.3125,97
98,0.3125,98
99,0.3125,99
100,0.3125,100
101,0.3125,101
102,0.3125,102
103,0.3125,103
104,0.3125,104
105,0.3125,105
106,0.3125,106
107,0.25,107
108,0.25,108
109,0.25,109
110,0.25,110
111,0.25,111
112,0.25,112
113,0.25,113
114,0.25,114
115,0.25,115
116,0.25,116
117,0.25,117
118,0.25,118
119,0.25,119
120,0.25,120
121,0.25,121
122,0.25,122
123,0.25,123
124,0.25,124
125,0.25,125
126,0.25,126
127,0.25,127
128,0.25,128
129,0.25,129
130,0.25,130
131,0.25,131
132,0.25,132
133,0.25,133
134,0.25,134
135,0.25,135
136,0.25,136
137,0.25,137
138,0.25,138
139,0.25,139
140,0.25,140
141,0.25,141
142,0.25,142
143,0.25,143
144,0.25,144
145,0.25,145
146,0.25,146
147,0.25,147
148,0.25,148
149,0.25,149
150,0.25,150
151,0.25,151
152,0.25,152
153,0.25,153
154,0.25,154
155,0.25,155
156,0.25,156
157,0.25,157
158,0.25,158
159,0.25,159
160,0.25,160
161,0.25,161
162,0.25,162
163,0.25,163
164,0.25,164
165,0.25,165
166,0.25,166
167,0.25,167
168,0.25,168
169,0.25,169
170,0.25,170
171,0.25,171
172,0.25,172
173,0.25,173
174,0.25,174
175,0.25,175
176,0.25,176
177,0.25,177
178,0.25,178
179,0.25,179
180,0.25,180
181,0.25,181
182,0.25,182
183,0.25,183
184,0.25,184
185,0.25,185
186,0.25,186
187,0.25,187
188,0.25,188
189,0.25,189
190,0.25,190
191,0.25,191
192,0.25,192
193,0.25,193
194,0.25,194
195,0.25,195
196,0.25,196
197,0.25,197
198,0.25,198
199,0.25,199
200,0.25,200
201,0.25,201
202,0.25,202
203,0.25,203
204,0.25,204
205,0.25,205
206,0.25,206
207,0.25,207
208,0.25,208
209,0.25,209
210,0.25,210
211,0.25,211
212,0.25,212
213,0.25,213
214,0.25,214
215,0.25,215
216,0.25,216
217,0.25,217
218,0.25,218
219,0.25,219
220,0.25,220
221,0.25,221
222,0.25,222
223,0.25,223
224,0.25,224
225,0.25,225
226,0.25,226
227,0.25,227
228,0.25,228
229,0.25,229
230,0.25,230
231,0.25,231
232,0.25,232
233,0.25,233
234,0.25,234
235,0.25,235
236,0.25,236
237,0.25,237
238,0.25,238
239,0.25,239
240,0.25,240
241,0.25,241
242,0.25,242
243,0.25,243
244,0.25,244
245,0.25,245
246,0.25,246
247,0.25,247
248,0.25,248
249,0.25,249
250,0.25,250
251,0.25,251
252,0.25,252
253,0.25,253
254,0.25,254
255,0.25,255
256,0.25,256
257,0.25,257
258,0.25,258
259,0.25,259
260,0.25,260
261,0.25,261
262,0.25,262
263,0.25,263
264,0.25,264
265,0.25,265
266,0.25,266
267,0.25,267
268,0.25,268
269,0.25,269
270,0.25,270
271,0.25,271
272,0.25,272
273,0.25,273
274,0.25,274
275,0.25,275
276,0.25,276
277,0.25,277
278,0.25,278
279,0.25,279
280,0.25,280
281,0.25,281
282,0.25,282
283,0.25,283
284,0.25,284
285,0.25,285
286,0.25,286
287,0.25,287
288,0.25,288
289,0.25,289
290,0.25,290
291,0.25,291
292,0.25,292
293,0.25,293
294,0.25,294
295,0.25,295
296,0.25,296
297,0.25,297
298,0.25,298
299,0.25,299
300,0.25,300
301,0.25,301
302,0.25,302
303,0.25,303
304,0.25,304
305,0.25,305
306,0.25,306
307,0.25,307
308,0.25,308
309,0.25,309
310,0.25,310
311,0.25,311
312,0.25,312
313,0.25,313
314,0.25,314
315,0.25,315
316,0.25,316
317,0.25,317
318,0.25,318
319,0.25,319
320,0.25,320
321,0.25,321
322,0.25,322
323,0.25,323
324,0.25,324
325,0.25,325
326,0.25,326
327,0.25,327
328,0.25,328
329,0.25,329
330,0.25,330
331,0.25,331
332,0.25,332
333,0.25,333
334,0.25,334
335,0.25,335
336,0.25,336
337,0.25,337
338,0.25,338
339,0.25,339
340,0.25,340
341,0.25,341
342,0.25,342
343,0.25,343
344,0.25,344
345,0.25,345
346,0.25,346
347,0.25,347
348,0.25,348
349,0.25,349
350,0.25,350
351,0.25,351
352,0.25,352
353,0.25,353
354,0.25,354
355,0.25,355
356,0.25,356
357,0.25,357
358,0.25,358
359,0.25,359
360,0.25,360
361,0.25,361
362,0.25,362
363,0.25,363
364,0.25,364
365,0.25,365
366,0.25,366
367,0.25,367
368,0.25,368
369,0.25,369
370,0.25,370
371,0.25,371
372,0.25,372
373,0.25,373
374,0.25,374
375,0.25,375
376,0.25,376
377,0.25,377
378,0.25,378
379,0.25,379
380,0.25,380
381,0.25,381
382,0.25,382
383,0.25,383
384,0.25,384
385,0.25,385
386,0.25,386
387,0.25,387
388,0.21875,388
389,0.21875,389
390,0.1875,390
391,0.1875,391
392,0.1875,392
393,0.1875,393
394,0.1875,394
395,0.1875,395
396,0.1875,396
397,0.1875,397
398,0.1875,398
399,0.1875,399
400,0.1875,400
401,0.1875,401
402,0.1875,402
403,0.1875,403
404,0.1875,404
405,0.1875,405
406,0.1875,406
407,0.1875,407
408,0.1875,408
409,0.1875,409
410,0.1875,410
411,0.1875,411
412,0.1875,412
413,0.1875,413
414,0.1875,414
415,0.1875,415
