,potential,iteration,max_steps
0,0.03125,9,10
1,0.46875,9,10
2,0.03125,9,10
3,0.03125,9,10
4,0.03125,9,10
5,0.21875,9,10
6,0.21875,9,10
7,0.03125,9,10
8,0.03125,9,10
9,0.21875,9,10
10,0.03125,9,10
11,0.15625,9,10
12,0.21875,9,10
13,0.46875,9,10
14,0.03125,9,10
15,0.46875,9,10
16,0.03125,9,10
17,0.21875,9,10
18,0.28125,9,10
19,0.03125,9,10
20,0.03125,9,10
21,0.28125,9,10
22,0.03125,9,10
23,0.03125,9,10
24,0.03125,9,10
25,0.03125,9,10
26,0.09375,9,10
27,0.09375,9,10
28,0.46875,9,10
29,0.28125,9,10
30,0.03125,99,100
31,0.03125,99,100
32,0.03125,99,100
33,0.03125,99,100
34,0.03125,99,100
35,0.0,73,100
36,0.03125,99,100
37,0.03125,99,100
38,0.03125,99,100
39,0.03125,99,100
40,0.03125,99,100
41,0.21875,99,100
42,0.03125,99,100
43,0.15625,99,100
44,0.03125,99,100
45,0.21875,99,100
46,0.03125,99,100
47,0.15625,99,100
48,0.03125,99,100
49,0.03125,99,100
50,0.03125,99,100
51,0.03125,99,100
52,0.03125,99,100
53,0.03125,99,100
54,0.03125,99,100
55,0.21875,99,100
56,0.03125,99,100
57,0.03125,99,100
58,0.03125,99,100
59,0.03125,99,100
60,0.03125,999,1000
61,0.03125,999,1000
62,0.0,176,1000
63,0.03125,999,1000
64,0.03125,999,1000
65,0.0,253,1000
66,0.03125,999,1000
67,0.03125,999,1000
68,0.03125,999,1000
69,0.03125,999,1000
70,0.0,416,1000
71,0.03125,999,1000
72,0.03125,999,1000
73,0.03125,999,1000
74,0.03125,999,1000
75,0.03125,999,1000
76,0.03125,999,1000
77,0.03125,999,1000
78,0.03125,999,1000
79,0.03125,999,1000
80,0.0,157,1000
81,0.03125,999,1000
82,0.0,792,1000
83,0.03125,999,1000
84,0.0,112,1000
85,0.03125,999,1000
86,0.03125,999,1000
87,0.0,468,1000
88,0.03125,999,1000
89,0.03125,999,1000
90,0.0,973,10000
91,0.03125,9999,10000
92,0.0,3429,10000
93,0.0,191,10000
94,0.0,286,10000
95,0.0,1557,10000
96,0.0,9221,10000
97,0.0,3442,10000
98,0.0,2505,10000
99,0.0,58,10000
100,0.0,2286,10000
101,0.0,138,10000
102,0.0,178,10000
103,0.0,6105,10000
104,0.0,1799,10000
105,0.0,4878,10000
106,0.03125,9999,10000
107,0.0,1067,10000
108,0.0,786,10000
109,0.0,126,10000
110,0.0,546,10000
111,0.0,690,10000
112,0.0,1493,10000
113,0.0,4934,10000
114,0.0,1005,10000
115,0.0,1176,10000
116,0.0,1124,10000
117,0.0,140,10000
118,0.0,1249,10000
119,0.0,1573,10000
120,0.0,2054,100000
121,0.0,6791,100000
122,0.0,1208,100000
123,0.0,11221,100000
124,0.0,4462,100000
125,0.0,279,100000
126,0.0,411,100000
127,0.0,3334,100000
128,0.0,2524,100000
129,0.0,448,100000
130,0.0,1844,100000
131,0.0,363,100000
132,0.0,1433,100000
133,0.0,279,100000
134,0.0,501,100000
135,0.0,4862,100000
136,0.0,2791,100000
137,0.0,471,100000
138,0.0,6863,100000
139,0.0,2033,100000
140,0.0,4043,100000
141,0.0,3155,100000
142,0.0,3219,100000
143,0.0,56,100000
144,0.0,6593,100000
145,0.0,208,100000
146,0.0,566,100000
147,0.0,935,100000
148,0.0,6165,100000
149,0.0,2643,100000
150,0.0,187,1000000
151,0.0,1661,1000000
152,0.0,302,1000000
153,0.0,1297,1000000
154,0.0,6843,1000000
155,0.0,4242,1000000
156,0.0,3378,1000000
157,0.0,1678,1000000
158,0.0,1365,1000000
159,0.0,9580,1000000
160,0.0,8918,1000000
161,0.0,1197,1000000
162,0.0,3846,1000000
163,0.0,2373,1000000
164,0.0,6658,1000000
165,0.0,3563,1000000
166,0.0,507,1000000
167,0.0,441,1000000
168,0.0,167,1000000
169,0.0,49,1000000
170,0.0,58,1000000
171,0.0,459,1000000
172,0.0,7903,1000000
173,0.0,1207,1000000
174,0.0,1688,1000000
175,0.0,4479,1000000
176,0.0,8799,1000000
177,0.0,188,1000000
178,0.0,2004,1000000
179,0.0,5184,1000000
