,potential,step
0,0.53125,0
1,0.46875,1
2,0.46875,2
3,0.46875,3
4,0.46875,4
5,0.46875,5
6,0.40625,6
7,0.40625,7
8,0.40625,8
9,0.21875,9
10,0.21875,10
11,0.21875,11
12,0.46875,12
13,0.46875,13
14,0.21875,14
15,0.21875,15
16,0.21875,16
17,0.21875,17
18,0.21875,18
19,0.21875,19
20,0.15625,20
21,0.15625,21
22,0.03125,22
23,0.03125,23
24,0.03125,24
25,0.03125,25
26,0.03125,26
27,0.03125,27
28,0.03125,28
29,0.03125,29
30,0.03125,30
31,0.03125,31
32,0.03125,32
33,0.03125,33
34,0.03125,34
35,0.03125,35
36,0.03125,36
37,0.03125,37
38,0.03125,38
39,0.03125,39
40,0.03125,40
41,0.03125,41
42,0.03125,42
43,0.03125,43
44,0.03125,44
45,0.03125,45
46,0.03125,46
47,0.03125,47
48,0.03125,48
49,0.03125,49
50,0.03125,50
51,0.34375,51
52,0.34375,52
53,0.34375,53
54,0.40625,54
55,0.09375,55
56,0.09375,56
57,0.15625,57
58,0.15625,58
59,0.03125,59
60,0.03125,60
61,0.03125,61
62,0.03125,62
63,0.03125,63
64,0.03125,64
65,0.03125,65
66,0.03125,66
67,0.03125,67
68,0.03125,68
69,0.03125,69
70,0.03125,70
71,0.03125,71
72,0.03125,72
73,0.15625,73
74,0.21875,74
75,0.21875,75
76,0.21875,76
77,0.21875,77
78,0.21875,78
79,0.21875,79
80,0.21875,80
81,0.21875,81
82,0.21875,82
83,0.21875,83
84,0.21875,84
85,0.21875,85
86,0.21875,86
87,0.21875,87
88,0.21875,88
89,0.03125,89
90,0.40625,90
91,0.28125,91
92,0.46875,92
93,0.46875,93
94,0.46875,94
95,0.21875,95
96,0.21875,96
97,0.21875,97
98,0.21875,98
99,0.21875,99
100,0.21875,100
101,0.21875,101
102,0.46875,102
103,0.46875,103
104,0.21875,104
105,0.21875,105
106,0.21875,106
107,0.21875,107
108,0.21875,108
109,0.21875,109
110,0.03125,110
111,0.03125,111
112,0.03125,112
113,0.03125,113
114,0.03125,114
115,0.03125,115
116,0.03125,116
117,0.03125,117
118,0.03125,118
119,0.03125,119
120,0.28125,120
121,0.28125,121
122,0.28125,122
123,0.28125,123
124,0.21875,124
125,0.34375,125
126,0.34375,126
127,0.21875,127
128,0.21875,128
129,0.21875,129
130,0.21875,130
131,0.21875,131
132,0.21875,132
133,0.21875,133
134,0.21875,134
135,0.21875,135
136,0.21875,136
137,0.21875,137
138,0.21875,138
139,0.21875,139
140,0.09375,140
141,0.09375,141
142,0.09375,142
143,0.09375,143
144,0.09375,144
145,0.09375,145
146,0.09375,146
147,0.09375,147
148,0.09375,148
149,0.09375,149
150,0.09375,150
151,0.09375,151
152,0.09375,152
153,0.09375,153
154,0.09375,154
155,0.09375,155
156,0.09375,156
157,0.09375,157
158,0.03125,158
159,0.03125,159
160,0.03125,160
161,0.03125,161
162,0.03125,162
163,0.03125,163
164,0.03125,164
165,0.03125,165
166,0.03125,166
167,0.03125,167
168,0.03125,168
169,0.03125,169
170,0.03125,170
171,0.03125,171
172,0.03125,172
173,0.03125,173
174,0.03125,174
175,0.46875,175
176,0.34375,176
177,0.28125,177
178,0.28125,178
179,0.34375,179
180,0.34375,180
181,0.34375,181
182,0.21875,182
183,0.21875,183
184,0.21875,184
185,0.03125,185
186,0.03125,186
187,0.03125,187
188,0.03125,188
189,0.03125,189
190,0.03125,190
191,0.03125,191
192,0.03125,192
193,0.15625,193
194,0.03125,194
195,0.03125,195
196,0.03125,196
197,0.03125,197
198,0.03125,198
199,0.03125,199
200,0.03125,200
201,0.03125,201
202,0.03125,202
203,0.03125,203
204,0.21875,204
205,0.21875,205
206,0.21875,206
207,0.21875,207
208,0.03125,208
209,0.03125,209
210,0.03125,210
211,0.28125,211
212,0.46875,212
213,0.46875,213
214,0.46875,214
215,0.46875,215
216,0.46875,216
217,0.09375,217
218,0.09375,218
219,0.09375,219
220,0.09375,220
221,0.46875,221
222,0.21875,222
223,0.21875,223
224,0.21875,224
225,0.21875,225
226,0.21875,226
227,0.21875,227
228,0.21875,228
229,0.21875,229
230,0.21875,230
231,0.21875,231
232,0.21875,232
233,0.21875,233
234,0.21875,234
235,0.03125,235
236,0.03125,236
237,0.03125,237
238,0.03125,238
239,0.21875,239
