,potential,iteration
0,0.0,1992
1,0.0,763
2,0.0,1270
3,0.0,1057
4,0.125,4999
5,0.0,1009
6,0.0,3165
7,0.0,4492
8,0.0,3063
9,0.0,774
10,0.0,1382
11,0.0,898
12,0.0,1739
13,0.0,1627
14,0.0,1269
15,0.0,3216
16,0.0,1048
17,0.0,1117
18,0.0,852
19,0.0,951
20,0.0,1706
21,0.0,912
22,0.0,4150
23,0.0,2503
24,0.0,1500
25,0.0,1621
26,0.0,2085
27,0.0,988
28,0.25,4999
29,0.0,1020
30,0.0,1058
31,0.0,3345
32,0.0,3719
33,0.0,917
34,0.0,1881
35,0.0,1426
36,0.0,1076
37,0.0,1681
38,0.0,1898
39,0.0,806
40,0.0,954
41,0.0,988
42,0.0,2006
43,0.0,989
44,0.0,937
45,0.0,4360
46,0.0,891
47,0.0,1502
48,0.0,2345
49,0.0,652
50,0.0,1203
51,0.0,1057
52,0.0,1456
53,0.0,4594
54,0.0,2208
55,0.0,1185
56,0.0,1170
57,0.0,1345
58,0.0,934
59,0.0,1725
60,0.0,1527
61,0.0,853
62,0.25,4999
63,0.0,2606
64,0.0,1140
65,0.0,1548
66,0.0,1749
67,0.0,813
68,0.0,827
69,0.0,924
70,0.0,1066
71,0.0,1234
72,0.0,1276
73,0.0,846
74,0.0,940
75,0.0,3265
76,0.0,2002
77,0.0,1463
78,0.0,2230
79,0.0,916
80,0.0,2703
81,0.0,810
82,0.125,4999
83,0.0,1507
84,0.0,1159
85,0.0,893
86,0.0,855
87,0.0,917
88,0.0,1311
89,0.0,1564
90,0.0,1408
91,0.0,1905
92,0.0,1190
93,0.0,893
94,0.0,1491
95,0.0,896
96,0.0,985
97,0.0,1596
98,0.0,1028
99,0.0,1277
100,0.0,1023
101,0.0,1436
102,0.0,1146
103,0.0,1583
104,0.0,1364
105,0.0,3624
106,0.0,1541
107,0.0,928
108,0.0,936
109,0.0,1489
110,0.0,984
111,0.0,1192
112,0.0,966
113,0.0,2267
114,0.0,3482
115,0.0,1527
116,0.0,1789
117,0.0,1784
118,0.0,1604
119,0.0,2968
120,0.0,910
121,0.0,1220
122,0.0,1193
123,0.0,2207
124,0.0,1364
125,0.0,1045
126,0.0,1921
127,0.0,1074
128,0.0,885
129,0.0,939
130,0.0,1233
131,0.0,1330
132,0.0,1010
133,0.0,1608
134,0.0,1034
135,0.0,1853
136,0.0,869
137,0.0,1660
138,0.0,1400
139,0.0,1118
140,0.0,1087
141,0.0,1256
142,0.0,1736
143,0.0,1207
144,0.0,904
145,0.0,2922
146,0.0,983
147,0.0,1183
148,0.0,967
149,0.0,1515
150,0.0,925
151,0.0,1118
152,0.0,1088
153,0.0,1945
154,0.0,979
155,0.0,2340
156,0.0,959
157,0.0,1055
158,0.0,911
159,0.0,1156
160,0.0,1937
161,0.0,3021
162,0.0,2103
163,0.0,1113
164,0.0,1287
165,0.0,3413
166,0.0,2828
167,0.25,4999
168,0.0,1427
169,0.0,850
170,0.0,1401
171,0.0,2044
172,0.0,972
173,0.0,1123
174,0.0,3111
175,0.0,1090
176,0.0,2003
177,0.0,970
178,0.0,1243
179,0.0,2406
180,0.0,1297
181,0.0,2179
182,0.25,4999
183,0.0,881
184,0.0,918
185,0.0,957
186,0.0,1368
187,0.0,873
188,0.0,1115
189,0.0,1308
190,0.0,1141
191,0.0,1162
192,0.0,1719
193,0.0,1063
194,0.0,1048
195,0.0,1006
196,0.0,1813
197,0.0,1918
198,0.0,1033
199,0.0,2893
200,0.0,1620
201,0.0,1231
202,0.0,1893
203,0.25,4999
204,0.0,1551
205,0.0,1994
206,0.0,1069
207,0.0,1221
208,0.0,998
209,0.0,1809
210,0.0,947
211,0.0,1350
212,0.0,936
213,0.0,4394
214,0.0,3354
215,0.0,2203
216,0.0,1440
217,0.0,4585
218,0.0,1288
219,0.0,1277
220,0.0,1008
221,0.0,1235
222,0.0,1109
223,0.0,3214
224,0.0,1128
225,0.0,1328
226,0.0,927
227,0.0,1363
228,0.0,1635
229,0.0,740
230,0.0,968
231,0.0,4079
232,0.0,1027
233,0.0,1483
234,0.0,1931
235,0.0,1203
236,0.0,1047
237,0.0,1212
238,0.0,1372
239,0.0,1548
240,0.0,3866
241,0.0,1550
242,0.0,1111
243,0.0,2407
244,0.0,2746
245,0.0,3400
246,0.0,2256
247,0.0,3309
248,0.0,1116
249,0.0,2456
250,0.0,968
251,0.0,1133
252,0.0,946
253,0.0,1482
254,0.0,1799
255,0.0,2014
256,0.0,1102
257,0.0,1545
258,0.0,1240
259,0.0,2990
260,0.0,1399
261,0.0,2679
262,0.125,4999
263,0.0,1854
264,0.0,1247
265,0.0,1026
266,0.0,973
267,0.0,1072
268,0.0,953
269,0.0,1864
270,0.0,1282
271,0.0,1981
272,0.0,2994
273,0.0,1349
274,0.0,914
275,0.0,1126
276,0.0,2105
277,0.0,1957
278,0.0,1795
279,0.0,1458
280,0.0,2343
281,0.0,1020
282,0.0,2938
283,0.0,890
284,0.0,2213
285,0.0,1012
286,0.0,1184
287,0.0,702
288,0.0,775
289,0.0,2856
290,0.0,3393
291,0.0,1004
292,0.0,2292
293,0.0,2029
294,0.0,1017
295,0.0,2035
296,0.0,787
297,0.0,930
298,0.0,2334
299,0.125,4999
