,potential,iteration
0,0.0,2823
1,0.0,1562
2,0.0,1920
3,0.0,3181
4,0.0,1339
5,0.0,1802
6,0.0,1597
7,0.0,1188
8,0.0,4222
9,0.0,3916
10,0.0,2913
11,0.0,2376
12,0.0,3045
13,0.0,2929
14,0.0,3001
15,0.0,999
16,0.0,2143
17,0.125,4999
18,0.0,1803
19,0.0,1062
20,0.0,2893
21,0.0,3163
22,0.0,2202
23,0.0,2877
24,0.0,2098
25,0.0,2984
26,0.0,3101
27,0.0,2370
28,0.0,2225
29,0.0,1694
30,0.0,3007
31,0.0,1978
32,0.125,4999
33,0.0,2254
34,0.25,4999
35,0.0,2134
36,0.0,2735
37,0.0,1800
38,0.0,2563
39,0.0,1708
40,0.0,2209
41,0.0,2816
42,0.0,2510
43,0.0,3318
44,0.0,2394
45,0.0,2080
46,0.0,2527
47,0.0,1895
48,0.0,2508
49,0.0,3777
50,0.0,2309
51,0.0,2204
52,0.0,2738
53,0.0,1328
54,0.0,3372
55,0.0,2786
56,0.0,2441
57,0.0,2648
58,0.0,3829
59,0.0,2894
60,0.0,1260
61,0.0,3072
62,0.0,3385
63,0.0,1329
64,0.0,3406
65,0.25,4999
66,0.0,2542
67,0.0,1692
68,0.0,1438
69,0.0,1280
70,0.0,1204
71,0.0,1998
72,0.0,1847
73,0.0,1647
74,0.0,1812
75,0.0,2359
76,0.0,2150
77,0.0,2783
78,0.0,2867
79,0.0,1848
80,0.25,4999
81,0.0,3305
82,0.0,2151
83,0.0,3499
84,0.0,383
85,0.0,3712
86,0.0,2793
87,0.0,2742
88,0.0,2886
89,0.0,1458
90,0.0,1009
91,0.0,2771
92,0.0,1821
93,0.0,2218
94,0.0,1394
95,0.0,2207
96,0.0,1958
97,0.0,2775
98,0.0,4657
99,0.0,947
100,0.0,2621
101,0.0,3387
102,0.0,4207
103,0.0,1153
104,0.0,3139
105,0.0,552
106,0.0,2499
107,0.0,1111
108,0.0,3589
109,0.0,1881
110,0.0,1636
111,0.0,1275
112,0.0,2442
113,0.0,3624
114,0.0,3631
115,0.0,1443
116,0.0,2221
117,0.0,4065
118,0.0,2677
119,0.0,4860
120,0.0,714
121,0.0,2699
122,0.0,4389
123,0.0,3102
124,0.0,4048
125,0.0,3461
126,0.0,1873
127,0.0,2948
128,0.0,3643
129,0.0,2749
130,0.0,2724
131,0.0,4569
132,0.0,2064
133,0.0,2533
134,0.0,2401
135,0.0,2691
136,0.0,2245
137,0.0,2626
138,0.0,1348
139,0.0,2235
140,0.0,3051
141,0.0,1749
142,0.0,1947
143,0.0,1406
144,0.0,3018
145,0.0,1306
146,0.0,801
147,0.0,3522
148,0.0,2508
149,0.0,2782
150,0.0,2055
151,0.0,4617
152,0.0,4456
153,0.0,4536
154,0.0,1766
155,0.0,2674
156,0.0,2883
157,0.0,2680
158,0.0,3475
159,0.0,2636
160,0.0,1182
161,0.0,3159
162,0.0,2202
163,0.0,3385
164,0.0,1372
165,0.0,3068
166,0.0,1844
167,0.0,2120
168,0.0,2347
169,0.0,4132
170,0.0,1666
171,0.0,1340
172,0.0,1470
173,0.0,2093
174,0.0,2873
175,0.0,1048
176,0.0,2101
177,0.0,1937
178,0.0,884
179,0.0,1556
180,0.0,1449
181,0.0,3796
182,0.0,2483
183,0.0,1404
184,0.0,564
185,0.0,2364
186,0.0,2322
187,0.0,2121
188,0.0,1630
189,0.25,4999
190,0.0,2128
191,0.0,2097
192,0.0,3434
193,0.0,2613
194,0.0,1590
195,0.0,2150
196,0.0,3269
197,0.0,2927
198,0.0,2511
199,0.0,2230
200,0.0,3522
201,0.0,3622
202,0.0,1754
203,0.0,3736
204,0.0,3020
205,0.0,2382
206,0.0,2612
207,0.0,3835
208,0.0,1751
209,0.0,2189
210,0.0,1542
211,0.0,1142
212,0.0,2016
213,0.0,2219
214,0.0,2341
215,0.0,1837
216,0.0,1319
217,0.0,25
218,0.0,2623
219,0.0,2438
220,0.0,692
221,0.0,3652
222,0.0,2189
223,0.0,4169
224,0.0,2289
225,0.0,2116
226,0.0,2607
227,0.0,1634
228,0.0,3720
229,0.0,3461
230,0.0,3035
231,0.0,1019
232,0.0,1774
233,0.0,2017
234,0.0,545
235,0.0,2039
236,0.0,1254
237,0.0,2160
238,0.0,1974
239,0.0,1907
240,0.0,2059
241,0.25,4999
242,0.0,2031
243,0.0,2574
244,0.0,1391
245,0.0,1752
246,0.0,2753
247,0.0,1228
248,0.0,3038
249,0.0,2110
250,0.0,1639
251,0.0,3162
252,0.0,2549
253,0.0,4090
254,0.0,2822
255,0.0,2477
256,0.0,3630
257,0.0,2433
258,0.0,2865
259,0.0,2359
260,0.125,4999
261,0.0,2851
262,0.125,4999
263,0.0,2045
264,0.0,2430
265,0.0,2447
266,0.0,437
267,0.0,1544
268,0.0,2175
269,0.0,1927
270,0.0,1344
271,0.0,1700
272,0.0,2491
273,0.0,2723
274,0.0,3605
275,0.125,4999
276,0.0,2038
277,0.0,2046
278,0.0,1670
279,0.0,4746
280,0.0,1806
281,0.0,3824
282,0.0,1601
283,0.0,2028
284,0.0,1942
285,0.0,1965
286,0.0,2925
287,0.0,2882
288,0.0,2780
289,0.0,1910
290,0.0,2013
291,0.0,1850
292,0.0,1453
293,0.0,4889
294,0.0,1795
295,0.0,2708
296,0.0,1165
297,0.0,3725
298,0.0,2843
299,0.0,3334
