,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.5,9,10,50,['linear'],15,5,0.06
1,0.5,9,10,50,['linear'],15,5,0.06
2,0.5,9,10,50,['linear'],15,5,0.06
3,0.5,9,10,50,['linear'],15,5,0.06
4,0.5,9,10,50,['linear'],15,5,0.06
5,0.5,9,10,50,['linear'],15,5,0.06
6,0.5,9,10,50,['linear'],15,5,0.06
7,0.5,9,10,50,['linear'],15,5,0.06
8,0.5,9,10,50,['linear'],15,5,0.06
9,0.5,9,10,50,['linear'],15,5,0.06
10,0.5,9,10,50,['linear'],15,5,0.06
11,0.5,9,10,50,['linear'],15,5,0.06
12,0.5,9,10,50,['linear'],15,5,0.06
13,0.5,9,10,50,['linear'],15,5,0.06
14,0.5,9,10,50,['linear'],15,5,0.06
15,0.5,9,10,50,['linear'],15,5,0.06
16,0.5,9,10,50,['linear'],15,5,0.06
17,0.5,9,10,50,['linear'],15,5,0.06
18,0.5,9,10,50,['linear'],15,5,0.06
19,0.5,9,10,50,['linear'],15,5,0.06
20,0.25,9,10,50,['linear'],15,5,0.06
21,0.5,9,10,50,['linear'],15,5,0.06
22,0.5,9,10,50,['linear'],15,5,0.06
23,0.5,9,10,50,['linear'],15,5,0.06
24,0.5,9,10,50,['linear'],15,5,0.06
25,0.5,9,10,50,['linear'],15,5,0.06
26,0.5,9,10,50,['linear'],15,5,0.06
27,0.5,9,10,50,['linear'],15,5,0.06
28,0.5,9,10,50,['linear'],15,5,0.06
29,0.5,9,10,50,['linear'],15,5,0.06
30,0.5,99,100,50,['linear'],15,5,0.06
31,0.5,99,100,50,['linear'],15,5,0.06
32,0.5,99,100,50,['linear'],15,5,0.06
33,0.5,99,100,50,['linear'],15,5,0.06
34,0.5,99,100,50,['linear'],15,5,0.06
35,0.5,99,100,50,['linear'],15,5,0.06
36,0.5,99,100,50,['linear'],15,5,0.06
37,0.5,99,100,50,['linear'],15,5,0.06
38,0.5,99,100,50,['linear'],15,5,0.06
39,0.5,99,100,50,['linear'],15,5,0.06
40,0.5,99,100,50,['linear'],15,5,0.06
41,0.5,99,100,50,['linear'],15,5,0.06
42,0.5,99,100,50,['linear'],15,5,0.06
43,0.5,99,100,50,['linear'],15,5,0.06
44,0.5,99,100,50,['linear'],15,5,0.06
45,0.5,99,100,50,['linear'],15,5,0.06
