,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,875,1000,50,"['geom', 0.99]",15,5,0.06
1,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
2,0.0,814,1000,50,"['geom', 0.99]",15,5,0.06
3,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
4,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
5,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
6,0.375,999,1000,50,"['geom', 0.99]",15,5,0.06
7,0.0,983,1000,50,"['geom', 0.99]",15,5,0.06
8,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
9,0.0,799,1000,50,"['geom', 0.99]",15,5,0.06
10,0.0,880,1000,50,"['geom', 0.99]",15,5,0.06
11,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
12,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
13,0.125,999,1000,50,"['geom', 0.99]",15,5,0.06
14,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
15,0.0,767,1000,50,"['geom', 0.99]",15,5,0.06
16,0.0,965,1000,50,"['geom', 0.99]",15,5,0.06
17,0.0,993,1000,50,"['geom', 0.99]",15,5,0.06
18,0.0,916,1000,50,"['geom', 0.99]",15,5,0.06
19,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
20,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
21,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
22,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
23,0.0,948,1000,50,"['geom', 0.99]",15,5,0.06
24,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
25,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
26,0.0625,999,1000,50,"['geom', 0.99]",15,5,0.06
27,0.375,999,1000,50,"['geom', 0.99]",15,5,0.06
28,0.25,999,1000,50,"['geom', 0.99]",15,5,0.06
29,0.0,986,1000,50,"['geom', 0.99]",15,5,0.06
30,0.0,705,1183,50,"['geom', 0.99]",15,5,0.06
31,0.25,1182,1183,50,"['geom', 0.99]",15,5,0.06
32,0.0,914,1183,50,"['geom', 0.99]",15,5,0.06
