,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.5,999,1000,50,['linear'],15,5,0.06
1,0.5,999,1000,50,['linear'],15,5,0.06
2,0.5,999,1000,50,['linear'],15,5,0.06
3,0.5,999,1000,50,['linear'],15,5,0.06
4,0.375,999,1000,50,['linear'],15,5,0.06
5,0.25,999,1000,50,['linear'],15,5,0.06
6,0.25,999,1000,50,['linear'],15,5,0.06
7,0.375,999,1000,50,['linear'],15,5,0.06
8,0.46875,999,1000,50,['linear'],15,5,0.06
9,0.5,999,1000,50,['linear'],15,5,0.06
10,0.5,999,1000,50,['linear'],15,5,0.06
11,0.5,999,1000,50,['linear'],15,5,0.06
12,0.46875,999,1000,50,['linear'],15,5,0.06
13,0.0,969,1000,50,['linear'],15,5,0.06
14,0.25,999,1000,50,['linear'],15,5,0.06
15,0.25,999,1000,50,['linear'],15,5,0.06
16,0.5,999,1000,50,['linear'],15,5,0.06
17,0.0,261,1000,50,['linear'],15,5,0.06
18,0.375,999,1000,50,['linear'],15,5,0.06
19,0.3125,999,1000,50,['linear'],15,5,0.06
20,0.375,999,1000,50,['linear'],15,5,0.06
21,0.5,999,1000,50,['linear'],15,5,0.06
22,0.25,999,1000,50,['linear'],15,5,0.06
23,0.0,821,1000,50,['linear'],15,5,0.06
24,0.125,999,1000,50,['linear'],15,5,0.06
25,0.5,999,1000,50,['linear'],15,5,0.06
26,0.5,999,1000,50,['linear'],15,5,0.06
27,0.0,979,1000,50,['linear'],15,5,0.06
28,0.25,999,1000,50,['linear'],15,5,0.06
29,0.25,999,1000,50,['linear'],15,5,0.06
30,0.5,1182,1183,50,['linear'],15,5,0.06
31,0.0,1006,1183,50,['linear'],15,5,0.06
32,0.5,1182,1183,50,['linear'],15,5,0.06
33,0.5,1182,1183,50,['linear'],15,5,0.06
34,0.5,1182,1183,50,['linear'],15,5,0.06
35,0.25,1182,1183,50,['linear'],15,5,0.06
36,0.0,1079,1183,50,['linear'],15,5,0.06
37,0.4375,1182,1183,50,['linear'],15,5,0.06
38,0.5,1182,1183,50,['linear'],15,5,0.06
39,0.25,1182,1183,50,['linear'],15,5,0.06
40,0.375,1182,1183,50,['linear'],15,5,0.06
41,0.5,1182,1183,50,['linear'],15,5,0.06
42,0.5,1182,1183,50,['linear'],15,5,0.06
43,0.5,1182,1183,50,['linear'],15,5,0.06
44,0.0,1128,1183,50,['linear'],15,5,0.06
45,0.25,1182,1183,50,['linear'],15,5,0.06
46,0.5,1182,1183,50,['linear'],15,5,0.06
47,0.375,1182,1183,50,['linear'],15,5,0.06
48,0.0,965,1183,50,['linear'],15,5,0.06
49,0.5,1182,1183,50,['linear'],15,5,0.06
50,0.0,1084,1183,50,['linear'],15,5,0.06
51,0.0,1127,1183,50,['linear'],15,5,0.06
52,0.375,1182,1183,50,['linear'],15,5,0.06
53,0.5,1182,1183,50,['linear'],15,5,0.06
54,0.5,1182,1183,50,['linear'],15,5,0.06
55,0.25,1182,1183,50,['linear'],15,5,0.06
56,0.5,1182,1183,50,['linear'],15,5,0.06
57,0.375,1182,1183,50,['linear'],15,5,0.06
58,0.0,909,1183,50,['linear'],15,5,0.06
59,0.0,814,1183,50,['linear'],15,5,0.06
60,0.25,1366,1367,50,['linear'],15,5,0.06
61,0.25,1366,1367,50,['linear'],15,5,0.06
62,0.25,1366,1367,50,['linear'],15,5,0.06
63,0.0,880,1367,50,['linear'],15,5,0.06
64,0.4375,1366,1367,50,['linear'],15,5,0.06
65,0.5,1366,1367,50,['linear'],15,5,0.06
66,0.5,1366,1367,50,['linear'],15,5,0.06
67,0.25,1366,1367,50,['linear'],15,5,0.06
68,0.25,1366,1367,50,['linear'],15,5,0.06
69,0.0,1297,1367,50,['linear'],15,5,0.06
70,0.25,1366,1367,50,['linear'],15,5,0.06
71,0.0,664,1367,50,['linear'],15,5,0.06
72,0.5,1366,1367,50,['linear'],15,5,0.06
73,0.0,1102,1367,50,['linear'],15,5,0.06
74,0.25,1366,1367,50,['linear'],15,5,0.06
75,0.25,1366,1367,50,['linear'],15,5,0.06
76,0.25,1366,1367,50,['linear'],15,5,0.06
77,0.25,1366,1367,50,['linear'],15,5,0.06
78,0.25,1366,1367,50,['linear'],15,5,0.06
79,0.0,406,1367,50,['linear'],15,5,0.06
80,0.0,1114,1367,50,['linear'],15,5,0.06
81,0.25,1366,1367,50,['linear'],15,5,0.06
82,0.5,1366,1367,50,['linear'],15,5,0.06
83,0.0,917,1367,50,['linear'],15,5,0.06
84,0.25,1366,1367,50,['linear'],15,5,0.06
85,0.40625,1366,1367,50,['linear'],15,5,0.06
86,0.5,1366,1367,50,['linear'],15,5,0.06
87,0.25,1366,1367,50,['linear'],15,5,0.06
88,0.5,1366,1367,50,['linear'],15,5,0.06
89,0.0,637,1367,50,['linear'],15,5,0.06
90,0.125,1550,1551,50,['linear'],15,5,0.06
91,0.0,513,1551,50,['linear'],15,5,0.06
92,0.0,1497,1551,50,['linear'],15,5,0.06
93,0.0,1119,1551,50,['linear'],15,5,0.06
94,0.0,1358,1551,50,['linear'],15,5,0.06
95,0.0,1055,1551,50,['linear'],15,5,0.06
96,0.0,1540,1551,50,['linear'],15,5,0.06
97,0.25,1550,1551,50,['linear'],15,5,0.06
98,0.375,1550,1551,50,['linear'],15,5,0.06
99,0.25,1550,1551,50,['linear'],15,5,0.06
100,0.0,1171,1551,50,['linear'],15,5,0.06
101,0.0,218,1551,50,['linear'],15,5,0.06
102,0.375,1550,1551,50,['linear'],15,5,0.06
103,0.0,904,1551,50,['linear'],15,5,0.06
104,0.0,977,1551,50,['linear'],15,5,0.06
105,0.0,1090,1551,50,['linear'],15,5,0.06
106,0.25,1550,1551,50,['linear'],15,5,0.06
107,0.0,937,1551,50,['linear'],15,5,0.06
