,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,585,3000,0.005,"['geom', 0.99]",15,5,0.06
1,0.0,599,3000,0.005,"['geom', 0.99]",15,5,0.06
2,0.0,404,3000,0.005,"['geom', 0.99]",15,5,0.06
3,0.0,2668,3000,0.005,"['geom', 0.99]",15,5,0.06
4,0.0,1539,3000,0.005,"['geom', 0.99]",15,5,0.06
5,0.0,1022,3000,0.005,"['geom', 0.99]",15,5,0.06
6,0.0,468,3000,0.005,"['geom', 0.99]",15,5,0.06
7,0.0,198,3000,0.005,"['geom', 0.99]",15,5,0.06
8,0.0,1008,3000,0.005,"['geom', 0.99]",15,5,0.06
9,0.0,240,3000,0.005,"['geom', 0.99]",15,5,0.06
10,0.0,167,3000,0.005,"['geom', 0.99]",15,5,0.06
11,0.0,1774,3000,0.005,"['geom', 0.99]",15,5,0.06
12,0.0,148,3000,0.005,"['geom', 0.99]",15,5,0.06
13,0.0,426,3000,0.005,"['geom', 0.99]",15,5,0.06
14,0.0,1554,3000,0.005,"['geom', 0.99]",15,5,0.06
15,0.0,67,3000,0.005,"['geom', 0.99]",15,5,0.06
16,0.0,337,3000,0.005,"['geom', 0.99]",15,5,0.06
17,0.0,1312,3000,0.005,"['geom', 0.99]",15,5,0.06
18,0.0,58,3000,0.005,"['geom', 0.99]",15,5,0.06
19,0.0,477,3000,0.005,"['geom', 0.99]",15,5,0.06
20,0.0,124,3000,0.005,"['geom', 0.99]",15,5,0.06
21,0.0,2172,3000,0.005,"['geom', 0.99]",15,5,0.06
22,0.0,1966,3000,0.005,"['geom', 0.99]",15,5,0.06
23,0.0,108,3000,0.005,"['geom', 0.99]",15,5,0.06
24,0.0,593,3000,0.005,"['geom', 0.99]",15,5,0.06
25,0.0,1609,3000,0.005,"['geom', 0.99]",15,5,0.06
26,0.0,506,3000,0.005,"['geom', 0.99]",15,5,0.06
27,0.0,135,3000,0.005,"['geom', 0.99]",15,5,0.06
28,0.125,2999,3000,0.005,"['geom', 0.99]",15,5,0.06
29,0.0,407,3000,0.005,"['geom', 0.99]",15,5,0.06
30,0.0,274,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
31,0.0,2184,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
32,0.0,414,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
33,0.0,678,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
34,0.0,545,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
35,0.0,467,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
36,0.0,282,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
37,0.0,906,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
38,0.0,1023,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
39,0.0,345,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
40,0.0,392,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
41,0.0,712,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
42,0.0,670,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
43,0.125,2999,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
44,0.0,396,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
45,0.0,749,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
46,0.0,2393,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
47,0.0,272,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
48,0.0,937,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
49,0.0,2966,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
50,0.0,996,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
51,0.0,2522,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
52,0.0,1845,3000,0.07379310344827587,"['geom', 0.99]",15,5,0.06
