,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,186,3000,10,['linear'],15,5,0.06
1,0.0,1668,3000,10,['linear'],15,5,0.06
2,0.0,1526,3000,10,['linear'],15,5,0.06
3,0.0,193,3000,10,['linear'],15,5,0.06
4,0.0,1645,3000,10,['linear'],15,5,0.06
5,0.0,537,3000,10,['linear'],15,5,0.06
6,0.0,2876,3000,10,['linear'],15,5,0.06
7,0.0,1331,3000,10,['linear'],15,5,0.06
8,0.0,1000,3000,10,['linear'],15,5,0.06
9,0.0,2195,3000,10,['linear'],15,5,0.06
10,0.0,129,3000,10,['linear'],15,5,0.06
11,0.125,2999,3000,10,['linear'],15,5,0.06
12,0.25,2999,3000,10,['linear'],15,5,0.06
13,0.0,572,3000,10,['linear'],15,5,0.06
14,0.0,1058,3000,10,['linear'],15,5,0.06
15,0.0,966,3000,10,['linear'],15,5,0.06
16,0.0,1984,3000,10,['linear'],15,5,0.06
17,0.0,1804,3000,10,['linear'],15,5,0.06
18,0.0,1947,3000,10,['linear'],15,5,0.06
19,0.0,2892,3000,10,['linear'],15,5,0.06
20,0.0,397,3000,10,['linear'],15,5,0.06
21,0.0,842,3000,10,['linear'],15,5,0.06
22,0.0,1013,3000,10,['linear'],15,5,0.06
23,0.0,487,3000,10,['linear'],15,5,0.06
24,0.0,2264,3000,10,['linear'],15,5,0.06
25,0.0,623,3000,10,['linear'],15,5,0.06
26,0.0,184,3000,10,['linear'],15,5,0.06
27,0.25,2999,3000,10,['linear'],15,5,0.06
28,0.0,275,3000,10,['linear'],15,5,0.06
29,0.0,1433,3000,10,['linear'],15,5,0.06
30,0.0,2787,3000,30,['linear'],15,5,0.06
31,0.0,1285,3000,30,['linear'],15,5,0.06
32,0.0,800,3000,30,['linear'],15,5,0.06
33,0.0,1200,3000,30,['linear'],15,5,0.06
34,0.0,765,3000,30,['linear'],15,5,0.06
35,0.0,2694,3000,30,['linear'],15,5,0.06
36,0.0,807,3000,30,['linear'],15,5,0.06
37,0.0,971,3000,30,['linear'],15,5,0.06
38,0.0,2390,3000,30,['linear'],15,5,0.06
39,0.0,729,3000,30,['linear'],15,5,0.06
40,0.125,2999,3000,30,['linear'],15,5,0.06
41,0.0,871,3000,30,['linear'],15,5,0.06
42,0.0,1540,3000,30,['linear'],15,5,0.06
43,0.0,636,3000,30,['linear'],15,5,0.06
44,0.0,1162,3000,30,['linear'],15,5,0.06
45,0.0,1009,3000,30,['linear'],15,5,0.06
46,0.25,2999,3000,30,['linear'],15,5,0.06
47,0.0,1048,3000,30,['linear'],15,5,0.06
48,0.0,1965,3000,30,['linear'],15,5,0.06
49,0.0,701,3000,30,['linear'],15,5,0.06
50,0.25,2999,3000,30,['linear'],15,5,0.06
51,0.0,514,3000,30,['linear'],15,5,0.06
52,0.0,725,3000,30,['linear'],15,5,0.06
53,0.0,1820,3000,30,['linear'],15,5,0.06
54,0.0,865,3000,30,['linear'],15,5,0.06
55,0.0,814,3000,30,['linear'],15,5,0.06
56,0.25,2999,3000,30,['linear'],15,5,0.06
57,0.25,2999,3000,30,['linear'],15,5,0.06
58,0.0,615,3000,30,['linear'],15,5,0.06
59,0.0,1669,3000,30,['linear'],15,5,0.06
60,0.25,2999,3000,50,['linear'],15,5,0.06
61,0.25,2999,3000,50,['linear'],15,5,0.06
62,0.0,934,3000,50,['linear'],15,5,0.06
63,0.0,1140,3000,50,['linear'],15,5,0.06
64,0.0,1661,3000,50,['linear'],15,5,0.06
65,0.0,2649,3000,50,['linear'],15,5,0.06
66,0.0,1118,3000,50,['linear'],15,5,0.06
67,0.0,1082,3000,50,['linear'],15,5,0.06
68,0.0,1336,3000,50,['linear'],15,5,0.06
69,0.25,2999,3000,50,['linear'],15,5,0.06
70,0.0,1861,3000,50,['linear'],15,5,0.06
71,0.0,1826,3000,50,['linear'],15,5,0.06
72,0.0,1125,3000,50,['linear'],15,5,0.06
73,0.25,2999,3000,50,['linear'],15,5,0.06
74,0.0,1012,3000,50,['linear'],15,5,0.06
75,0.0,1218,3000,50,['linear'],15,5,0.06
76,0.0,1267,3000,50,['linear'],15,5,0.06
77,0.0,1311,3000,50,['linear'],15,5,0.06
78,0.0,2996,3000,50,['linear'],15,5,0.06
79,0.0,965,3000,50,['linear'],15,5,0.06
80,0.0,1672,3000,50,['linear'],15,5,0.06
81,0.125,2999,3000,50,['linear'],15,5,0.06
82,0.0,2185,3000,50,['linear'],15,5,0.06
83,0.0,1614,3000,50,['linear'],15,5,0.06
84,0.0,876,3000,50,['linear'],15,5,0.06
85,0.0,1520,3000,50,['linear'],15,5,0.06
86,0.25,2999,3000,50,['linear'],15,5,0.06
87,0.0,1252,3000,50,['linear'],15,5,0.06
88,0.0,648,3000,50,['linear'],15,5,0.06
89,0.0,2985,3000,50,['linear'],15,5,0.06
90,0.0,2220,3000,70,['linear'],15,5,0.06
91,0.0,1336,3000,70,['linear'],15,5,0.06
92,0.0,2548,3000,70,['linear'],15,5,0.06
93,0.0,934,3000,70,['linear'],15,5,0.06
94,0.0,1499,3000,70,['linear'],15,5,0.06
95,0.25,2999,3000,70,['linear'],15,5,0.06
96,0.0,1665,3000,70,['linear'],15,5,0.06
97,0.0,1768,3000,70,['linear'],15,5,0.06
98,0.0,2024,3000,70,['linear'],15,5,0.06
99,0.0,858,3000,70,['linear'],15,5,0.06
100,0.0,1284,3000,70,['linear'],15,5,0.06
101,0.0,458,3000,70,['linear'],15,5,0.06
102,0.25,2999,3000,70,['linear'],15,5,0.06
103,0.0,605,3000,70,['linear'],15,5,0.06
104,0.0,2139,3000,70,['linear'],15,5,0.06
105,0.0,1828,3000,70,['linear'],15,5,0.06
106,0.0,1416,3000,70,['linear'],15,5,0.06
107,0.0,2728,3000,70,['linear'],15,5,0.06
108,0.0,1736,3000,70,['linear'],15,5,0.06
109,0.0,1689,3000,70,['linear'],15,5,0.06
110,0.0,1818,3000,70,['linear'],15,5,0.06
111,0.0,677,3000,70,['linear'],15,5,0.06
112,0.0,2007,3000,70,['linear'],15,5,0.06
113,0.0,2441,3000,70,['linear'],15,5,0.06
114,0.0,1260,3000,70,['linear'],15,5,0.06
115,0.0,1335,3000,70,['linear'],15,5,0.06
116,0.0,2566,3000,70,['linear'],15,5,0.06
117,0.5,2999,3000,70,['linear'],15,5,0.06
