,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,2139,4000,25,"['geom', 0.99]",15,5,0.06
1,0.0,1230,4000,25,"['geom', 0.99]",15,5,0.06
2,0.0,1231,4000,25,"['geom', 0.99]",15,5,0.06
3,0.0,825,4000,25,"['geom', 0.99]",15,5,0.06
4,0.0,1038,4000,25,"['geom', 0.99]",15,5,0.06
5,0.0,759,4000,25,"['geom', 0.99]",15,5,0.06
6,0.0,2260,4000,25,"['geom', 0.99]",15,5,0.06
7,0.0,1422,4000,25,"['geom', 0.99]",15,5,0.06
8,0.0,1317,4000,25,"['geom', 0.99]",15,5,0.06
9,0.0,689,4000,25,"['geom', 0.99]",15,5,0.06
10,0.0,716,4000,25,"['geom', 0.99]",15,5,0.06
11,0.0,737,4000,25,"['geom', 0.99]",15,5,0.06
12,0.0,1086,4000,25,"['geom', 0.99]",15,5,0.06
13,0.0,1186,4000,25,"['geom', 0.99]",15,5,0.06
14,0.0,2063,4000,25,"['geom', 0.99]",15,5,0.06
15,0.0,708,4000,25,"['geom', 0.99]",15,5,0.06
16,0.125,3999,4000,25,"['geom', 0.99]",15,5,0.06
17,0.0,844,4000,25,"['geom', 0.99]",15,5,0.06
18,0.0,2058,4000,25,"['geom', 0.99]",15,5,0.06
19,0.0,1334,4000,25,"['geom', 0.99]",15,5,0.06
20,0.0,841,4000,25,"['geom', 0.99]",15,5,0.06
21,0.0,936,4000,25,"['geom', 0.99]",15,5,0.06
22,0.0,655,4000,25,"['geom', 0.99]",15,5,0.06
23,0.25,3999,4000,25,"['geom', 0.99]",15,5,0.06
24,0.0,1794,4000,25,"['geom', 0.99]",15,5,0.06
25,0.0,863,4000,25,"['geom', 0.99]",15,5,0.06
26,0.0,921,4000,25,"['geom', 0.99]",15,5,0.06
27,0.0,1078,4000,25,"['geom', 0.99]",15,5,0.06
28,0.0,3406,4000,25,"['geom', 0.99]",15,5,0.06
29,0.0,1121,4000,25,"['geom', 0.99]",15,5,0.06
30,0.0,904,4000,25,"['geom', 0.99]",15,5,0.06
31,0.0,1622,4000,25,"['geom', 0.99]",15,5,0.06
32,0.0,988,4000,25,"['geom', 0.99]",15,5,0.06
33,0.0,1083,4000,25,"['geom', 0.99]",15,5,0.06
34,0.0,925,4000,25,"['geom', 0.99]",15,5,0.06
35,0.0,3482,4000,25,"['geom', 0.99]",15,5,0.06
36,0.0,747,4000,25,"['geom', 0.99]",15,5,0.06
37,0.0,1064,4000,25,"['geom', 0.99]",15,5,0.06
38,0.0,1719,4000,25,"['geom', 0.99]",15,5,0.06
39,0.0,684,4000,25,"['geom', 0.99]",15,5,0.06
40,0.0,732,4000,25,"['geom', 0.99]",15,5,0.06
41,0.0,781,4000,25,"['geom', 0.99]",15,5,0.06
42,0.0,1933,4000,25,"['geom', 0.99]",15,5,0.06
43,0.0,544,4000,25,"['geom', 0.99]",15,5,0.06
44,0.0,1568,4000,25,"['geom', 0.99]",15,5,0.06
45,0.0,1322,4000,25,"['geom', 0.99]",15,5,0.06
46,0.0,2490,4000,25,"['geom', 0.99]",15,5,0.06
47,0.0,922,4000,25,"['geom', 0.99]",15,5,0.06
48,0.0,3442,4000,25,"['geom', 0.99]",15,5,0.06
49,0.0,1679,4000,25,"['geom', 0.99]",15,5,0.06
50,0.0,921,4000,25,"['geom', 0.99]",15,5,0.06
51,0.0,813,4000,25,"['geom', 0.99]",15,5,0.06
52,0.0,1759,4000,25,"['geom', 0.99]",15,5,0.06
53,0.0,2195,4000,25,"['geom', 0.99]",15,5,0.06
54,0.0,808,4000,25,"['geom', 0.99]",15,5,0.06
55,0.0,836,4000,25,"['geom', 0.99]",15,5,0.06
56,0.0,966,4000,25,"['geom', 0.99]",15,5,0.06
