,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,684,4000,15,['linear'],15,5,0.06
1,0.0,1746,4000,15,['linear'],15,5,0.06
2,0.0,2421,4000,15,['linear'],15,5,0.06
3,0.0,580,4000,15,['linear'],15,5,0.06
4,0.0,553,4000,15,['linear'],15,5,0.06
5,0.0,380,4000,15,['linear'],15,5,0.06
6,0.0,836,4000,15,['linear'],15,5,0.06
7,0.0,690,4000,15,['linear'],15,5,0.06
8,0.0,646,4000,15,['linear'],15,5,0.06
9,0.0,961,4000,15,['linear'],15,5,0.06
10,0.0,1782,4000,15,['linear'],15,5,0.06
11,0.0,970,4000,15,['linear'],15,5,0.06
12,0.0,2604,4000,15,['linear'],15,5,0.06
13,0.0,741,4000,15,['linear'],15,5,0.06
14,0.0,779,4000,15,['linear'],15,5,0.06
15,0.0,1086,4000,15,['linear'],15,5,0.06
16,0.0,651,4000,15,['linear'],15,5,0.06
17,0.0,995,4000,15,['linear'],15,5,0.06
18,0.0,2808,4000,15,['linear'],15,5,0.06
19,0.0,1116,4000,15,['linear'],15,5,0.06
20,0.0,421,4000,15,['linear'],15,5,0.06
21,0.0,660,4000,15,['linear'],15,5,0.06
22,0.0,1834,4000,15,['linear'],15,5,0.06
23,0.0,717,4000,15,['linear'],15,5,0.06
24,0.0,3242,4000,15,['linear'],15,5,0.06
25,0.0,674,4000,15,['linear'],15,5,0.06
26,0.0,338,4000,15,['linear'],15,5,0.06
27,0.25,3999,4000,15,['linear'],15,5,0.06
28,0.0,771,4000,15,['linear'],15,5,0.06
29,0.0,462,4000,15,['linear'],15,5,0.06
30,0.0,1239,4000,15,['linear'],15,5,0.06
31,0.0,1640,4000,15,['linear'],15,5,0.06
32,0.0,288,4000,15,['linear'],15,5,0.06
33,0.0,262,4000,15,['linear'],15,5,0.06
34,0.0,493,4000,15,['linear'],15,5,0.06
35,0.0,444,4000,15,['linear'],15,5,0.06
36,0.0,1024,4000,15,['linear'],15,5,0.06
37,0.0,557,4000,15,['linear'],15,5,0.06
38,0.0,92,4000,15,['linear'],15,5,0.06
39,0.0,1028,4000,15,['linear'],15,5,0.06
40,0.0,995,4000,15,['linear'],15,5,0.06
41,0.0,442,4000,15,['linear'],15,5,0.06
42,0.25,3999,4000,15,['linear'],15,5,0.06
43,0.0,397,4000,15,['linear'],15,5,0.06
44,0.0,1054,4000,15,['linear'],15,5,0.06
45,0.0,641,4000,15,['linear'],15,5,0.06
46,0.0,498,4000,15,['linear'],15,5,0.06
47,0.0,347,4000,15,['linear'],15,5,0.06
48,0.0,344,4000,15,['linear'],15,5,0.06
49,0.0,1748,4000,15,['linear'],15,5,0.06
50,0.0,617,4000,15,['linear'],15,5,0.06
51,0.0,572,4000,15,['linear'],15,5,0.06
52,0.0,3643,4000,15,['linear'],15,5,0.06
53,0.0,1640,4000,15,['linear'],15,5,0.06
54,0.0,1045,4000,15,['linear'],15,5,0.06
55,0.0,548,4000,15,['linear'],15,5,0.06
56,0.0,707,4000,15,['linear'],15,5,0.06
57,0.0,724,4000,15,['linear'],15,5,0.06
58,0.0,931,4000,15,['linear'],15,5,0.06
59,0.0,3499,4000,15,['linear'],15,5,0.06
60,0.0,823,4000,15,['linear'],15,5,0.06
61,0.0,870,4000,15,['linear'],15,5,0.06
62,0.0,3080,4000,15,['linear'],15,5,0.06
63,0.0,706,4000,15,['linear'],15,5,0.06
64,0.0,426,4000,15,['linear'],15,5,0.06
65,0.0,471,4000,15,['linear'],15,5,0.06
66,0.0,1339,4000,15,['linear'],15,5,0.06
67,0.0,461,4000,15,['linear'],15,5,0.06
68,0.0,677,4000,15,['linear'],15,5,0.06
69,0.0,817,4000,15,['linear'],15,5,0.06
70,0.0,107,4000,15,['linear'],15,5,0.06
71,0.0,1148,4000,15,['linear'],15,5,0.06
72,0.0,196,4000,15,['linear'],15,5,0.06
73,0.0,631,4000,15,['linear'],15,5,0.06
74,0.0,340,4000,15,['linear'],15,5,0.06
75,0.0,1487,4000,15,['linear'],15,5,0.06
76,0.0,1261,4000,15,['linear'],15,5,0.06
77,0.0,747,4000,15,['linear'],15,5,0.06
78,0.0,566,4000,15,['linear'],15,5,0.06
79,0.0,1579,4000,15,['linear'],15,5,0.06
80,0.0,927,4000,15,['linear'],15,5,0.06
81,0.0,729,4000,15,['linear'],15,5,0.06
82,0.0,571,4000,15,['linear'],15,5,0.06
83,0.0,2766,4000,15,['linear'],15,5,0.06
84,0.0,787,4000,15,['linear'],15,5,0.06
85,0.0,1059,4000,15,['linear'],15,5,0.06
86,0.0,1065,4000,15,['linear'],15,5,0.06
87,0.0,2259,4000,15,['linear'],15,5,0.06
88,0.0,709,4000,15,['linear'],15,5,0.06
89,0.0,913,4000,15,['linear'],15,5,0.06
90,0.0,812,4000,15,['linear'],15,5,0.06
91,0.0,2163,4000,15,['linear'],15,5,0.06
92,0.0,2542,4000,15,['linear'],15,5,0.06
93,0.0,1133,4000,15,['linear'],15,5,0.06
94,0.0,780,4000,15,['linear'],15,5,0.06
95,0.0,363,4000,15,['linear'],15,5,0.06
96,0.0,2970,4000,15,['linear'],15,5,0.06
97,0.0,68,4000,15,['linear'],15,5,0.06
98,0.0,516,4000,15,['linear'],15,5,0.06
99,0.0,867,4000,15,['linear'],15,5,0.06
100,0.0,471,4000,15,['linear'],15,5,0.06
101,0.25,3999,4000,15,['linear'],15,5,0.06
102,0.0,2087,4000,15,['linear'],15,5,0.06
103,0.0,1025,4000,15,['linear'],15,5,0.06
104,0.0,596,4000,15,['linear'],15,5,0.06
105,0.125,3999,4000,15,['linear'],15,5,0.06
106,0.0,3616,4000,15,['linear'],15,5,0.06
107,0.0,1034,4000,15,['linear'],15,5,0.06
108,0.0,1047,4000,15,['linear'],15,5,0.06
109,0.0,3704,4000,15,['linear'],15,5,0.06
110,0.0,1979,4000,15,['linear'],15,5,0.06
111,0.0,885,4000,15,['linear'],15,5,0.06
112,0.0,673,4000,15,['linear'],15,5,0.06
113,0.0,1553,4000,15,['linear'],15,5,0.06
114,0.125,3999,4000,15,['linear'],15,5,0.06
115,0.0,524,4000,15,['linear'],15,5,0.06
116,0.0,1553,4000,15,['linear'],15,5,0.06
