,potential,iteration,max_steps
0,0.5,9,10
1,0.5,9,10
2,0.125,9,10
3,0.5,9,10
4,0.5,9,10
5,0.5,9,10
6,0.5,9,10
7,0.5,9,10
8,0.5,9,10
9,0.5,9,10
10,0.5,9,10
11,0.5,9,10
12,0.5,9,10
13,0.5,9,10
14,0.5,9,10
15,0.5,9,10
16,0.5,9,10
17,0.46875,9,10
18,0.5,9,10
19,0.5,9,10
20,0.5,9,10
21,0.5,9,10
22,0.5,9,10
23,0.5,9,10
24,0.5,9,10
25,0.5,9,10
26,0.5,9,10
27,0.5,9,10
28,0.5,9,10
29,0.5,9,10
30,0.5,99,100
31,0.5,99,100
32,0.5,99,100
33,0.5,99,100
34,0.5,99,100
35,0.5,99,100
36,0.5,99,100
37,0.5,99,100
38,0.5,99,100
39,0.5,99,100
40,0.5,99,100
41,0.5,99,100
42,0.46875,99,100
43,0.5,99,100
44,0.5,99,100
45,0.5,99,100
46,0.5,99,100
47,0.5,99,100
48,0.5,99,100
49,0.5,99,100
50,0.5,99,100
51,0.5,99,100
52,0.5,99,100
53,0.5,99,100
54,0.5,99,100
55,0.5,99,100
56,0.5,99,100
57,0.5,99,100
58,0.5,99,100
59,0.4375,99,100
60,0.25,999,1000
61,0.0,865,1000
62,0.0,959,1000
63,0.125,999,1000
64,0.25,999,1000
65,0.25,999,1000
66,0.25,999,1000
67,0.25,999,1000
68,0.0,930,1000
69,0.25,999,1000
70,0.25,999,1000
71,0.25,999,1000
72,0.25,999,1000
73,0.3125,999,1000
74,0.03125,999,1000
75,0.25,999,1000
76,0.25,999,1000
77,0.25,999,1000
78,0.125,999,1000
79,0.0,891,1000
80,0.25,999,1000
81,0.25,999,1000
82,0.25,999,1000
83,0.0,804,1000
84,0.0,949,1000
85,0.25,999,1000
86,0.0,686,1000
87,0.25,999,1000
88,0.25,999,1000
89,0.25,999,1000
90,0.0,962,10000
91,0.0,1003,10000
92,0.0,1619,10000
93,0.0,927,10000
94,0.0,1690,10000
95,0.0,846,10000
96,0.0,2622,10000
97,0.0,921,10000
98,0.0,2946,10000
99,0.0,1260,10000
100,0.0,3252,10000
101,0.0,936,10000
102,0.0,1248,10000
103,0.0,848,10000
104,0.0,1497,10000
105,0.0,1266,10000
106,0.0,1690,10000
107,0.0,1017,10000
108,0.0,906,10000
109,0.0,3132,10000
110,0.0,1487,10000
111,0.0,957,10000
112,0.0,885,10000
113,0.0,1157,10000
114,0.0,1643,10000
115,0.0,825,10000
116,0.0,3577,10000
117,0.0,3106,10000
118,0.0,1309,10000
119,0.0,969,10000
120,0.0,851,100000
121,0.0,1378,100000
122,0.0,3871,100000
123,0.0,782,100000
124,0.0,1113,100000
125,0.0,1007,100000
126,0.0,1368,100000
127,0.0,3381,100000
128,0.0,2585,100000
129,0.0,1102,100000
130,0.0,737,100000
131,0.0,1623,100000
132,0.0,2820,100000
133,0.0,862,100000
134,0.0,1524,100000
135,0.0,1255,100000
136,0.0,883,100000
137,0.0,1160,100000
138,0.0,921,100000
139,0.0,3378,100000
140,0.0,1682,100000
141,0.0,953,100000
142,0.0,907,100000
143,0.0,2219,100000
144,0.0,2654,100000
145,0.0,2710,100000
146,0.0,965,100000
147,0.0,1725,100000
148,0.0,1725,100000
149,0.0,3625,100000
150,0.0,1105,1000000
151,0.0,935,1000000
152,0.0,1660,1000000
153,0.0,3723,1000000
154,0.0,1405,1000000
155,0.0,2627,1000000
156,0.0,2255,1000000
157,0.0,1742,1000000
158,0.0,1055,1000000
159,0.0,805,1000000
160,0.0,4445,1000000
161,0.0,1047,1000000
162,0.0,1223,1000000
163,0.0,1044,1000000
164,0.0,6276,1000000
165,0.0,892,1000000
166,0.0,1264,1000000
167,0.0,1157,1000000
168,0.0,789,1000000
169,0.0,1563,1000000
170,0.0,939,1000000
171,0.0,2303,1000000
172,0.0,1027,1000000
173,0.0,1625,1000000
174,0.0,1442,1000000
175,0.0,1119,1000000
176,0.0,859,1000000
177,0.0,820,1000000
178,0.0,1479,1000000
179,0.0,1012,1000000
