,potential,step
0,0.5,0
1,0.5,1
2,0.5,2
3,0.5,3
4,0.5,4
5,0.5,5
6,0.5,6
7,0.5,7
8,0.5,8
9,0.5,9
10,0.5,10
11,0.5,11
12,0.5,12
13,0.5,13
14,0.5,14
15,0.5,15
16,0.5,16
17,0.5,17
18,0.5,18
19,0.375,19
20,0.375,20
21,0.375,21
22,0.375,22
23,0.375,23
24,0.375,24
25,0.375,25
26,0.5,26
27,0.5,27
28,0.5,28
29,0.5,29
30,0.5,30
31,0.5,31
32,0.5,32
33,0.5,33
34,0.5,34
35,0.5,35
36,0.5,36
37,0.5,37
38,0.5,38
39,0.5,39
40,0.5,40
41,0.5,41
42,0.5,42
43,0.5,43
44,0.5,44
45,0.5,45
46,0.5,46
47,0.5,47
48,0.5,48
49,0.5,49
50,0.5,50
51,0.5,51
52,0.5,52
53,0.5,53
54,0.5,54
55,0.5,55
56,0.5,56
57,0.5,57
58,0.5,58
59,0.5,59
60,0.5,60
61,0.5,61
62,0.5,62
63,0.5,63
64,0.5,64
65,0.5,65
66,0.5,66
67,0.5,67
68,0.5,68
69,0.5,69
70,0.5,70
71,0.5,71
72,0.5,72
73,0.5,73
74,0.5,74
75,0.5,75
76,0.5,76
77,0.5,77
78,0.5,78
79,0.5,79
80,0.5,80
81,0.5,81
82,0.5,82
83,0.5,83
84,0.5,84
85,0.5,85
86,0.5,86
87,0.5,87
88,0.5,88
89,0.5,89
90,0.5,90
91,0.5,91
92,0.5,92
93,0.5,93
94,0.5,94
95,0.5,95
96,0.5,96
97,0.5,97
98,0.5,98
99,0.5,99
100,0.5,100
101,0.5,101
102,0.375,102
103,0.375,103
104,0.375,104
105,0.5,105
106,0.5,106
107,0.5,107
108,0.5,108
109,0.5,109
110,0.5,110
111,0.5,111
112,0.5,112
113,0.5,113
114,0.5,114
115,0.5,115
116,0.5,116
117,0.5,117
118,0.5,118
119,0.5,119
120,0.5,120
121,0.5,121
122,0.5,122
123,0.5,123
124,0.5,124
125,0.5,125
126,0.5,126
127,0.5,127
128,0.5,128
129,0.5,129
130,0.5,130
131,0.5,131
132,0.5,132
133,0.5,133
134,0.5,134
135,0.5,135
136,0.5,136
137,0.5,137
138,0.5,138
139,0.5,139
140,0.5,140
141,0.5,141
142,0.5,142
143,0.5,143
144,0.5,144
145,0.5,145
146,0.5,146
147,0.5,147
148,0.46875,148
149,0.46875,149
150,0.5,150
151,0.5,151
152,0.5,152
153,0.5,153
154,0.5,154
155,0.5,155
156,0.5,156
157,0.5,157
158,0.5,158
159,0.5,159
160,0.5,160
161,0.5,161
162,0.5,162
163,0.5,163
164,0.5,164
165,0.5,165
166,0.5,166
167,0.5,167
168,0.5,168
169,0.5,169
170,0.5,170
171,0.5,171
172,0.5,172
173,0.5,173
174,0.5,174
175,0.5,175
176,0.5,176
177,0.5,177
178,0.5,178
179,0.5,179
180,0.5,180
181,0.5,181
182,0.5,182
183,0.5,183
184,0.5,184
185,0.5,185
186,0.5,186
187,0.5,187
188,0.5,188
189,0.5,189
190,0.5,190
191,0.5,191
192,0.5,192
193,0.5,193
194,0.5,194
195,0.5,195
196,0.5,196
197,0.5,197
198,0.5,198
199,0.5,199
200,0.5,200
201,0.5,201
202,0.5,202
203,0.5,203
204,0.5,204
205,0.5,205
206,0.5,206
207,0.5,207
208,0.5,208
209,0.5,209
210,0.5,210
211,0.5,211
212,0.5,212
213,0.5,213
214,0.5,214
215,0.5,215
216,0.5,216
217,0.5,217
218,0.5,218
219,0.5,219
220,0.5,220
221,0.5,221
222,0.5,222
223,0.5,223
224,0.5,224
225,0.5,225
226,0.5,226
227,0.5,227
228,0.5,228
229,0.5,229
230,0.5,230
231,0.5,231
232,0.5,232
233,0.5,233
234,0.5,234
235,0.5,235
236,0.5,236
237,0.5,237
238,0.5,238
239,0.5,239
240,0.5,240
241,0.5,241
242,0.5,242
243,0.5,243
244,0.5,244
245,0.5,245
246,0.5,246
247,0.5,247
248,0.5,248
249,0.5,249
250,0.5,250
251,0.5,251
252,0.5,252
253,0.5,253
254,0.5,254
255,0.5,255
256,0.5,256
257,0.5,257
258,0.5,258
259,0.5,259
260,0.5,260
261,0.5,261
262,0.5,262
263,0.5,263
264,0.5,264
265,0.5,265
266,0.5,266
267,0.5,267
268,0.5,268
269,0.5,269
270,0.5,270
271,0.5,271
272,0.5,272
273,0.5,273
274,0.5,274
275,0.5,275
276,0.5,276
277,0.5,277
278,0.5,278
279,0.5,279
280,0.5,280
281,0.5,281
282,0.5,282
283,0.5,283
284,0.5,284
285,0.5,285
286,0.5,286
287,0.5,287
288,0.5,288
289,0.5,289
290,0.5,290
291,0.5,291
292,0.5,292
293,0.5,293
294,0.5,294
295,0.5,295
296,0.5,296
297,0.5,297
298,0.5,298
299,0.5,299
300,0.5,300
301,0.5,301
302,0.5,302
303,0.5,303
304,0.5,304
305,0.5,305
306,0.5,306
307,0.5,307
308,0.5,308
309,0.5,309
310,0.5,310
311,0.5,311
312,0.5,312
313,0.5,313
314,0.5,314
315,0.5,315
316,0.5,316
317,0.5,317
318,0.5,318
319,0.5,319
320,0.5,320
321,0.5,321
322,0.5,322
323,0.5,323
324,0.5,324
325,0.5,325
326,0.5,326
327,0.5,327
328,0.5,328
329,0.5,329
330,0.5,330
331,0.5,331
332,0.5,332
333,0.5,333
334,0.5,334
335,0.5,335
336,0.5,336
337,0.5,337
338,0.5,338
339,0.5,339
340,0.5,340
341,0.5,341
342,0.5,342
343,0.5,343
344,0.5,344
345,0.5,345
346,0.5,346
347,0.5,347
348,0.5,348
349,0.5,349
350,0.5,350
351,0.5,351
352,0.5,352
353,0.5,353
354,0.5,354
355,0.5,355
356,0.5,356
357,0.5,357
358,0.5,358
359,0.5,359
360,0.5,360
361,0.5,361
362,0.5,362
363,0.5,363
364,0.5,364
365,0.5,365
366,0.5,366
367,0.5,367
368,0.5,368
369,0.5,369
370,0.5,370
371,0.4375,371
372,0.46875,372
373,0.46875,373
374,0.46875,374
375,0.4375,375
376,0.4375,376
377,0.5,377
378,0.5,378
379,0.5,379
380,0.5,380
381,0.5,381
382,0.5,382
383,0.5,383
384,0.5,384
385,0.5,385
386,0.5,386
387,0.5,387
388,0.5,388
389,0.5,389
390,0.5,390
391,0.5,391
392,0.5,392
393,0.5,393
394,0.5,394
395,0.5,395
396,0.5,396
397,0.5,397
398,0.5,398
399,0.5,399
400,0.5,400
401,0.5,401
402,0.5,402
403,0.5,403
404,0.5,404
405,0.5,405
406,0.5,406
407,0.5,407
408,0.5,408
409,0.5,409
410,0.5,410
411,0.5,411
412,0.5,412
413,0.5,413
414,0.5,414
415,0.5,415
416,0.5,416
417,0.5,417
418,0.5,418
419,0.5,419
420,0.5,420
421,0.5,421
422,0.5,422
423,0.5,423
