,potential,iteration
0,0.0,1040
1,0.0,2374
2,0.03125,4999
3,0.0,1036
4,0.0,1603
5,0.0,2008
6,0.0,2006
7,0.0,2024
8,0.0,1100
9,0.0,2298
10,0.0,1867
11,0.0,1663
12,0.0,1600
13,0.0,3033
14,0.0,1453
15,0.0,1277
16,0.0,2521
17,0.0,2215
18,0.0,963
19,0.0,3010
20,0.0,851
21,0.0,1528
22,0.0,4352
23,0.0,3369
24,0.0,4266
25,0.0,3522
26,0.0,4767
27,0.0,1412
28,0.0,2555
29,0.0,2149
30,0.0,1068
31,0.0,1859
32,0.0,2852
33,0.0,2358
34,0.0,1835
35,0.0,1426
36,0.0,1989
37,0.0,4162
38,0.0,1451
39,0.0,1904
40,0.0,3863
41,0.0,1067
42,0.0,1571
43,0.0,2433
44,0.0,1108
45,0.0,3868
46,0.0,3113
47,0.0,1269
48,0.0,3529
49,0.0,27
50,0.0,2237
51,0.0,1148
52,0.0,1681
53,0.0,746
54,0.0,1062
55,0.0,2453
56,0.0,2519
57,0.0,2165
58,0.03125,4999
59,0.0,1805
60,0.0,1266
61,0.0,2122
62,0.0,1113
63,0.0,1582
64,0.0,1542
65,0.0,2022
66,0.0,2495
67,0.0,2972
68,0.0,3061
69,0.0,2336
70,0.0,2502
71,0.0,3348
72,0.0,2183
73,0.0,4073
74,0.0,515
75,0.0,3352
76,0.0,1337
77,0.0,1805
78,0.0,1640
79,0.0,2949
80,0.0,690
81,0.0,3872
82,0.0,1047
83,0.0,4124
84,0.0,1183
85,0.0,1085
86,0.0,3341
87,0.0,1187
88,0.0,1790
89,0.0,2123
90,0.0,1747
91,0.0,1952
92,0.0,2185
93,0.0,1729
94,0.0,1606
95,0.0,1286
96,0.0,1383
97,0.0,2121
98,0.0,4086
99,0.0,2067
100,0.0,2342
101,0.0,1391
102,0.0,1711
103,0.0,1584
104,0.0,2000
105,0.0,2371
106,0.0,1302
107,0.0,796
108,0.0,2202
109,0.0,3683
110,0.0,1548
111,0.0,1514
112,0.0,1368
113,0.0,3141
114,0.0,2814
115,0.0,1240
116,0.0,4570
117,0.0,4478
118,0.0,2106
119,0.0,1912
120,0.0,2411
121,0.0,1287
122,0.0,2939
123,0.0,1289
124,0.0,1377
125,0.0,1087
126,0.0,3098
127,0.0,1135
128,0.0,2093
129,0.0,2317
130,0.0,1952
131,0.0,2024
132,0.0,1658
133,0.0,3177
134,0.0,2749
135,0.0,2281
136,0.0,2563
137,0.0,1205
138,0.0,1731
139,0.0,963
140,0.0,1964
141,0.0,1374
142,0.0,2189
143,0.0,1990
144,0.0,1635
145,0.0,1834
146,0.0,2179
147,0.0,3217
148,0.03125,4999
149,0.0,2141
150,0.0,1272
151,0.0,3086
152,0.0,1066
153,0.0,1214
154,0.0,1606
155,0.0,1456
156,0.0,1628
157,0.0,4114
158,0.0,960
159,0.0,4593
160,0.0,900
161,0.0,2130
162,0.0,1768
163,0.0,1975
164,0.0,1175
165,0.0,1964
166,0.0,1354
167,0.0,2369
168,0.0,2336
169,0.0,2457
170,0.0,2655
171,0.0,2418
172,0.0,2085
173,0.0,1139
174,0.0,2341
175,0.0,2699
176,0.0,3774
177,0.0,2985
178,0.0,1008
179,0.0,2348
180,0.0,2265
181,0.0,1721
182,0.0,3722
183,0.0,2996
184,0.0,2766
185,0.0,1253
186,0.0,1285
187,0.0,4932
188,0.0,1514
189,0.0,1432
190,0.0,1895
191,0.0,1168
192,0.0,1527
193,0.0,1672
194,0.0,2348
195,0.0,1560
196,0.0,1705
197,0.0,3695
198,0.0,1503
199,0.0,1634
