,potential,iteration
0,0.0625,4999
1,0.0,3900
2,0.125,4999
3,0.0,298
4,0.125,4999
5,0.125,4999
6,0.0,4947
7,0.125,4999
8,0.0,1410
9,0.0625,4999
10,0.125,4999
11,0.125,4999
12,0.125,4999
13,0.125,4999
14,0.0,3631
15,0.0,2372
16,0.0,1580
17,0.0,2973
18,0.125,4999
19,0.125,4999
20,0.125,4999
21,0.0625,4999
22,0.0625,4999
23,0.0,4622
24,0.0625,4999
25,0.0,4269
26,0.125,4999
27,0.125,4999
28,0.125,4999
29,0.0,2885
30,0.0,4002
31,0.0,2616
32,0.125,4999
33,0.0625,4999
34,0.0,4929
35,0.0,3213
36,0.0,3789
37,0.125,4999
38,0.125,4999
39,0.125,4999
40,0.125,4999
41,0.0,4153
42,0.0,4719
43,0.125,4999
44,0.125,4999
45,0.125,4999
46,0.125,4999
47,0.0,4349
48,0.125,4999
49,0.125,4999
50,0.0625,4999
51,0.125,4999
52,0.0,4894
53,0.125,4999
54,0.125,4999
55,0.0,1353
56,0.0,4462
57,0.0,316
58,0.125,4999
59,0.0,2302
60,0.0,3848
61,0.0,3352
62,0.125,4999
63,0.0,2475
64,0.125,4999
65,0.0,4766
66,0.125,4999
67,0.0625,4999
68,0.125,4999
69,0.125,4999
70,0.0625,4999
71,0.125,4999
72,0.0625,4999
73,0.0625,4999
74,0.125,4999
75,0.0,2921
76,0.0,2315
77,0.125,4999
78,0.0,38
79,0.0625,4999
80,0.0,3587
81,0.125,4999
82,0.0,125
83,0.0,3683
84,0.125,4999
85,0.0,4468
86,0.0,3988
87,0.0625,4999
88,0.0625,4999
89,0.125,4999
90,0.0,2661
91,0.125,4999
92,0.125,4999
93,0.0625,4999
94,0.125,4999
95,0.0,4726
96,0.125,4999
97,0.125,4999
98,0.0,4533
99,0.125,4999
100,0.0,4793
101,0.0,2875
102,0.0,2910
103,0.125,4999
104,0.125,4999
105,0.0,1673
106,0.0,3503
107,0.125,4999
108,0.0,900
109,0.125,4999
110,0.0,4761
111,0.0,4007
112,0.125,4999
113,0.125,4999
114,0.0,3335
115,0.0,4299
116,0.125,4999
117,0.125,4999
118,0.125,4999
119,0.125,4999
120,0.0625,4999
121,0.0,1072
122,0.0,4451
123,0.125,4999
124,0.0,2272
125,0.125,4999
126,0.0,3165
127,0.0625,4999
128,0.125,4999
129,0.0,2778
130,0.0,1212
131,0.125,4999
132,0.0,4924
133,0.125,4999
134,0.0625,4999
135,0.0625,4999
136,0.03125,4999
137,0.125,4999
138,0.0,4604
139,0.125,4999
140,0.125,4999
141,0.125,4999
142,0.0,129
143,0.0,2643
144,0.125,4999
145,0.0,1516
146,0.0625,4999
147,0.0,1965
148,0.0,4078
149,0.125,4999
150,0.125,4999
151,0.125,4999
152,0.0625,4999
153,0.0625,4999
154,0.0625,4999
155,0.0,4838
156,0.0625,4999
157,0.0625,4999
158,0.0,3875
159,0.0,4015
160,0.125,4999
161,0.0625,4999
162,0.0,4151
163,0.125,4999
164,0.125,4999
165,0.125,4999
166,0.0,3119
167,0.0,3055
168,0.0625,4999
169,0.125,4999
170,0.125,4999
171,0.0,4299
172,0.0625,4999
173,0.0625,4999
174,0.0625,4999
175,0.03125,4999
176,0.125,4999
177,0.0,2531
178,0.125,4999
179,0.125,4999
180,0.0625,4999
181,0.09375,4999
182,0.0625,4999
183,0.0,1898
184,0.125,4999
185,0.0625,4999
186,0.125,4999
187,0.0,4241
188,0.0,3610
189,0.125,4999
190,0.125,4999
191,0.0625,4999
192,0.0625,4999
193,0.0,4141
194,0.125,4999
195,0.0,4910
196,0.0625,4999
197,0.125,4999
198,0.0625,4999
199,0.0625,4999
