,potential,iteration
0,0.0625,4999
1,0.25,4999
2,0.125,4999
3,0.125,4999
4,0.125,4999
5,0.125,4999
6,0.125,4999
7,0.125,4999
8,0.125,4999
9,0.0625,4999
10,0.1875,4999
11,0.125,4999
12,0.125,4999
13,0.125,4999
14,0.125,4999
15,0.125,4999
16,0.25,4999
17,0.125,4999
18,0.1875,4999
19,0.125,4999
20,0.125,4999
21,0.125,4999
22,0.1875,4999
23,0.0,1341
24,0.125,4999
25,0.0,4585
26,0.125,4999
27,0.125,4999
28,0.125,4999
29,0.125,4999
30,0.125,4999
31,0.125,4999
32,0.375,4999
33,0.125,4999
34,0.125,4999
35,0.125,4999
36,0.125,4999
37,0.3125,4999
38,0.1875,4999
39,0.125,4999
40,0.4375,4999
41,0.125,4999
42,0.125,4999
43,0.125,4999
44,0.125,4999
45,0.125,4999
46,0.1875,4999
47,0.0,4287
48,0.1875,4999
49,0.0,4084
50,0.125,4999
51,0.125,4999
52,0.125,4999
53,0.125,4999
54,0.125,4999
55,0.125,4999
56,0.1875,4999
57,0.25,4999
58,0.125,4999
59,0.125,4999
60,0.1875,4999
61,0.125,4999
62,0.5625,4999
63,0.125,4999
64,0.125,4999
65,0.125,4999
66,0.125,4999
67,0.125,4999
68,0.125,4999
69,0.25,4999
70,0.375,4999
71,0.125,4999
72,0.125,4999
73,0.125,4999
74,0.125,4999
75,0.1875,4999
76,0.375,4999
77,0.0,1977
78,0.125,4999
79,0.125,4999
80,0.125,4999
81,0.125,4999
82,0.25,4999
83,0.15625,4999
84,0.375,4999
85,0.125,4999
86,0.125,4999
87,0.25,4999
88,0.125,4999
89,0.25,4999
90,0.1875,4999
91,0.125,4999
92,0.125,4999
93,0.25,4999
94,0.125,4999
95,0.25,4999
96,0.125,4999
97,0.125,4999
98,0.0,2571
99,0.125,4999
100,0.125,4999
101,0.125,4999
102,0.0625,4999
103,0.125,4999
104,0.375,4999
105,0.125,4999
106,0.125,4999
107,0.125,4999
108,0.125,4999
109,0.125,4999
110,0.125,4999
111,0.125,4999
112,0.125,4999
113,0.125,4999
114,0.125,4999
115,0.5,4999
116,0.25,4999
117,0.125,4999
118,0.125,4999
119,0.125,4999
120,0.1875,4999
121,0.125,4999
122,0.125,4999
123,0.125,4999
124,0.375,4999
125,0.1875,4999
126,0.125,4999
127,0.375,4999
128,0.125,4999
129,0.125,4999
130,0.125,4999
131,0.125,4999
132,0.0,789
133,0.125,4999
134,0.125,4999
135,0.3125,4999
136,0.125,4999
137,0.125,4999
138,0.125,4999
139,0.375,4999
140,0.125,4999
141,0.125,4999
142,0.125,4999
143,0.125,4999
144,0.5,4999
145,0.3125,4999
146,0.125,4999
147,0.125,4999
148,0.125,4999
149,0.25,4999
150,0.125,4999
151,0.125,4999
152,0.375,4999
153,0.3125,4999
154,0.3125,4999
155,0.25,4999
156,0.125,4999
157,0.1875,4999
158,0.125,4999
159,0.0,1585
160,0.125,4999
161,0.125,4999
162,0.125,4999
163,0.0,4738
164,0.125,4999
165,0.3125,4999
166,0.125,4999
167,0.125,4999
168,0.125,4999
169,0.5,4999
170,0.125,4999
171,0.125,4999
172,0.125,4999
173,0.125,4999
174,0.1875,4999
175,0.125,4999
176,0.125,4999
177,0.125,4999
178,0.125,4999
179,0.125,4999
180,0.25,4999
181,0.125,4999
182,0.5,4999
183,0.25,4999
184,0.3125,4999
185,0.125,4999
186,0.125,4999
187,0.0,3819
188,0.25,4999
189,0.125,4999
190,0.125,4999
191,0.125,4999
192,0.125,4999
193,0.125,4999
194,0.375,4999
195,0.0,3821
196,0.25,4999
197,0.125,4999
198,0.125,4999
199,0.25,4999
