,potential,step
0,0.625,0
1,0.3125,1
2,0.3125,2
3,0.3125,3
4,0.1875,4
5,0.1875,5
6,0.15625,6
7,0.3125,7
8,0.25,8
9,0.25,9
10,0.25,10
11,0.25,11
12,0.375,12
13,0.375,13
14,0.375,14
15,0.25,15
16,0.125,16
17,0.1875,17
18,0.1875,18
19,0.1875,19
20,0.1875,20
21,0.1875,21
22,0.1875,22
23,0.1875,23
24,0.125,24
25,0.5,25
26,0.3125,26
27,0.125,27
28,0.125,28
29,0.125,29
30,0.125,30
31,0.125,31
32,0.125,32
33,0.125,33
34,0.125,34
35,0.125,35
36,0.125,36
37,0.125,37
38,0.125,38
39,0.125,39
40,0.125,40
41,0.5,41
42,0.375,42
43,0.375,43
44,0.375,44
45,0.125,45
46,0.125,46
47,0.125,47
48,0.25,48
49,0.25,49
50,0.25,50
51,0.25,51
52,0.25,52
53,0.25,53
54,0.25,54
55,0.25,55
56,0.25,56
57,0.25,57
58,0.125,58
59,0.125,59
60,0.125,60
61,0.125,61
62,0.125,62
63,0.125,63
64,0.125,64
65,0.125,65
66,0.125,66
67,0.1875,67
68,0.125,68
69,0.125,69
70,0.125,70
71,0.125,71
72,0.125,72
73,0.125,73
74,0.125,74
75,0.125,75
76,0.125,76
77,0.125,77
78,0.125,78
79,0.125,79
80,0.3125,80
81,0.25,81
82,0.25,82
83,0.25,83
84,0.25,84
85,0.125,85
86,0.125,86
87,0.125,87
88,0.125,88
89,0.125,89
90,0.125,90
91,0.125,91
92,0.125,92
93,0.1875,93
94,0.1875,94
95,0.125,95
96,0.125,96
97,0.125,97
98,0.125,98
99,0.125,99
100,0.125,100
101,0.125,101
102,0.125,102
103,0.125,103
104,0.125,104
105,0.125,105
106,0.125,106
107,0.125,107
108,0.125,108
109,0.125,109
110,0.125,110
111,0.125,111
112,0.125,112
113,0.125,113
114,0.125,114
115,0.125,115
116,0.5,116
117,0.4375,117
118,0.1875,118
119,0.125,119
120,0.125,120
121,0.125,121
122,0.125,122
123,0.125,123
124,0.125,124
125,0.125,125
126,0.125,126
127,0.125,127
128,0.375,128
129,0.125,129
130,0.125,130
131,0.125,131
132,0.125,132
133,0.125,133
134,0.125,134
135,0.125,135
136,0.125,136
137,0.125,137
138,0.125,138
139,0.125,139
140,0.125,140
141,0.125,141
142,0.125,142
143,0.125,143
144,0.125,144
145,0.125,145
146,0.125,146
147,0.125,147
148,0.125,148
149,0.125,149
150,0.125,150
151,0.375,151
152,0.375,152
153,0.375,153
154,0.3125,154
155,0.3125,155
156,0.3125,156
157,0.3125,157
158,0.3125,158
159,0.125,159
160,0.125,160
161,0.125,161
162,0.125,162
163,0.125,163
164,0.125,164
165,0.125,165
166,0.125,166
167,0.125,167
168,0.125,168
169,0.125,169
170,0.125,170
171,0.125,171
172,0.125,172
173,0.125,173
174,0.125,174
175,0.1875,175
176,0.125,176
177,0.125,177
178,0.125,178
179,0.125,179
180,0.125,180
181,0.125,181
182,0.125,182
183,0.125,183
184,0.125,184
185,0.125,185
186,0.125,186
187,0.125,187
188,0.125,188
189,0.125,189
190,0.125,190
191,0.125,191
192,0.125,192
193,0.125,193
194,0.125,194
195,0.125,195
196,0.125,196
197,0.125,197
198,0.125,198
199,0.125,199
200,0.125,200
201,0.125,201
202,0.125,202
203,0.375,203
204,0.375,204
205,0.125,205
206,0.125,206
207,0.125,207
208,0.125,208
209,0.125,209
210,0.125,210
211,0.125,211
212,0.125,212
213,0.125,213
214,0.125,214
215,0.125,215
216,0.125,216
217,0.125,217
218,0.125,218
219,0.125,219
220,0.125,220
221,0.125,221
222,0.125,222
223,0.125,223
224,0.125,224
225,0.125,225
226,0.125,226
227,0.125,227
228,0.125,228
229,0.125,229
230,0.125,230
231,0.125,231
232,0.125,232
233,0.125,233
234,0.125,234
235,0.125,235
236,0.125,236
237,0.125,237
238,0.125,238
239,0.125,239
240,0.125,240
241,0.125,241
242,0.125,242
243,0.125,243
244,0.125,244
245,0.125,245
246,0.125,246
247,0.5,247
248,0.5,248
249,0.5,249
250,0.25,250
251,0.25,251
252,0.25,252
253,0.25,253
254,0.25,254
255,0.25,255
256,0.25,256
257,0.5,257
258,0.5,258
259,0.4375,259
260,0.4375,260
261,0.375,261
262,0.375,262
263,0.375,263
264,0.375,264
265,0.5,265
266,0.375,266
267,0.375,267
268,0.375,268
269,0.375,269
270,0.375,270
271,0.375,271
272,0.375,272
273,0.375,273
274,0.375,274
275,0.3125,275
276,0.25,276
277,0.375,277
278,0.125,278
279,0.25,279
280,0.125,280
281,0.3125,281
282,0.3125,282
283,0.1875,283
284,0.25,284
285,0.1875,285
286,0.1875,286
287,0.15625,287
288,0.5,288
289,0.375,289
290,0.1875,290
291,0.1875,291
292,0.1875,292
293,0.125,293
294,0.125,294
295,0.125,295
296,0.125,296
297,0.25,297
298,0.1875,298
299,0.1875,299
300,0.125,300
301,0.125,301
302,0.25,302
303,0.125,303
304,0.125,304
305,0.125,305
306,0.125,306
307,0.125,307
308,0.125,308
309,0.125,309
310,0.125,310
311,0.125,311
312,0.125,312
313,0.125,313
314,0.125,314
315,0.125,315
316,0.125,316
317,0.125,317
318,0.125,318
319,0.125,319
320,0.125,320
321,0.125,321
322,0.125,322
323,0.125,323
324,0.125,324
325,0.125,325
326,0.125,326
327,0.125,327
328,0.5,328
329,0.375,329
330,0.125,330
331,0.125,331
332,0.125,332
333,0.125,333
334,0.125,334
335,0.125,335
336,0.125,336
337,0.125,337
338,0.125,338
339,0.125,339
340,0.125,340
341,0.125,341
342,0.5,342
343,0.125,343
344,0.125,344
345,0.125,345
346,0.125,346
347,0.125,347
348,0.125,348
349,0.125,349
350,0.125,350
351,0.125,351
352,0.125,352
353,0.125,353
354,0.125,354
355,0.125,355
356,0.125,356
357,0.125,357
358,0.125,358
359,0.125,359
360,0.125,360
361,0.125,361
362,0.125,362
363,0.125,363
364,0.125,364
365,0.125,365
366,0.125,366
367,0.125,367
368,0.125,368
369,0.125,369
370,0.125,370
371,0.125,371
372,0.125,372
373,0.125,373
374,0.125,374
375,0.125,375
376,0.125,376
377,0.125,377
378,0.125,378
379,0.125,379
380,0.125,380
381,0.125,381
382,0.125,382
383,0.125,383
384,0.5,384
385,0.5,385
386,0.375,386
387,0.125,387
388,0.125,388
389,0.125,389
390,0.125,390
391,0.125,391
392,0.125,392
393,0.125,393
394,0.125,394
395,0.125,395
396,0.125,396
397,0.125,397
398,0.125,398
399,0.125,399
400,0.125,400
401,0.125,401
402,0.125,402
403,0.125,403
404,0.125,404
405,0.125,405
406,0.125,406
407,0.125,407
408,0.125,408
409,0.125,409
410,0.125,410
411,0.125,411
412,0.125,412
413,0.125,413
414,0.125,414
415,0.125,415
416,0.125,416
417,0.125,417
418,0.125,418
419,0.125,419
420,0.125,420
421,0.125,421
422,0.25,422
423,0.25,423
424,0.125,424
425,0.125,425
426,0.125,426
427,0.125,427
428,0.125,428
429,0.125,429
430,0.125,430
431,0.125,431
432,0.25,432
433,0.125,433
434,0.125,434
435,0.25,435
436,0.125,436
437,0.125,437
438,0.125,438
439,0.3125,439
440,0.1875,440
441,0.1875,441
442,0.125,442
443,0.125,443
444,0.25,444
445,0.25,445
446,0.125,446
447,0.125,447
448,0.125,448
449,0.125,449
450,0.125,450
451,0.125,451
452,0.125,452
453,0.125,453
454,0.375,454
455,0.3125,455
456,0.25,456
457,0.25,457
458,0.25,458
459,0.25,459
460,0.25,460
461,0.25,461
462,0.25,462
463,0.1875,463
464,0.1875,464
465,0.0625,465
466,0.0625,466
467,0.0625,467
468,0.0625,468
469,0.125,469
470,0.0625,470
471,0.125,471
472,0.125,472
473,0.125,473
474,0.125,474
475,0.125,475
476,0.125,476
477,0.125,477
478,0.125,478
479,0.125,479
480,0.125,480
481,0.125,481
482,0.125,482
483,0.125,483
484,0.125,484
485,0.125,485
486,0.125,486
487,0.125,487
488,0.125,488
489,0.125,489
490,0.125,490
491,0.125,491
492,0.125,492
493,0.125,493
494,0.125,494
495,0.125,495
496,0.125,496
497,0.125,497
498,0.125,498
499,0.125,499
500,0.125,500
501,0.125,501
502,0.125,502
503,0.125,503
504,0.125,504
505,0.125,505
506,0.125,506
507,0.125,507
508,0.125,508
509,0.5,509
510,0.5,510
511,0.3125,511
512,0.3125,512
513,0.3125,513
514,0.3125,514
515,0.25,515
516,0.25,516
517,0.25,517
518,0.1875,518
519,0.3125,519
520,0.25,520
521,0.125,521
522,0.125,522
523,0.125,523
524,0.125,524
525,0.125,525
526,0.125,526
527,0.125,527
528,0.125,528
529,0.125,529
530,0.125,530
531,0.125,531
532,0.125,532
533,0.125,533
534,0.125,534
535,0.125,535
536,0.125,536
537,0.125,537
538,0.125,538
539,0.125,539
540,0.125,540
541,0.125,541
542,0.125,542
543,0.125,543
544,0.125,544
545,0.125,545
546,0.125,546
547,0.125,547
548,0.125,548
549,0.125,549
550,0.125,550
551,0.125,551
552,0.125,552
553,0.125,553
554,0.125,554
555,0.125,555
556,0.125,556
557,0.125,557
558,0.125,558
559,0.375,559
560,0.375,560
561,0.375,561
562,0.125,562
563,0.125,563
564,0.125,564
565,0.125,565
566,0.125,566
567,0.125,567
568,0.125,568
569,0.125,569
570,0.125,570
571,0.125,571
572,0.125,572
573,0.125,573
574,0.125,574
575,0.125,575
576,0.125,576
577,0.125,577
578,0.125,578
579,0.125,579
580,0.125,580
581,0.125,581
582,0.125,582
583,0.125,583
584,0.125,584
585,0.125,585
586,0.125,586
587,0.125,587
588,0.125,588
589,0.125,589
590,0.125,590
591,0.125,591
592,0.125,592
593,0.125,593
594,0.125,594
595,0.125,595
596,0.125,596
597,0.125,597
598,0.125,598
599,0.125,599
600,0.125,600
601,0.125,601
602,0.125,602
603,0.125,603
604,0.125,604
605,0.125,605
606,0.125,606
607,0.125,607
608,0.375,608
609,0.375,609
610,0.375,610
611,0.375,611
612,0.375,612
613,0.375,613
614,0.375,614
615,0.375,615
616,0.3125,616
617,0.3125,617
618,0.3125,618
619,0.1875,619
620,0.125,620
621,0.125,621
622,0.25,622
623,0.25,623
624,0.3125,624
625,0.3125,625
626,0.3125,626
627,0.3125,627
628,0.3125,628
629,0.25,629
630,0.25,630
631,0.25,631
632,0.25,632
633,0.25,633
634,0.25,634
635,0.25,635
636,0.25,636
637,0.25,637
638,0.25,638
639,0.25,639
640,0.25,640
641,0.25,641
642,0.25,642
643,0.25,643
644,0.25,644
645,0.25,645
646,0.25,646
647,0.25,647
648,0.25,648
649,0.25,649
650,0.25,650
651,0.125,651
652,0.125,652
653,0.125,653
654,0.125,654
655,0.125,655
656,0.125,656
657,0.125,657
658,0.125,658
659,0.125,659
660,0.125,660
661,0.125,661
662,0.125,662
663,0.125,663
664,0.125,664
665,0.125,665
666,0.125,666
667,0.125,667
668,0.125,668
669,0.125,669
670,0.125,670
671,0.125,671
672,0.125,672
673,0.125,673
674,0.125,674
675,0.125,675
676,0.125,676
677,0.125,677
678,0.125,678
679,0.125,679
680,0.125,680
681,0.125,681
682,0.125,682
683,0.125,683
684,0.125,684
685,0.125,685
686,0.125,686
687,0.125,687
688,0.125,688
689,0.125,689
690,0.125,690
691,0.125,691
692,0.125,692
693,0.125,693
694,0.125,694
695,0.125,695
696,0.125,696
697,0.125,697
698,0.125,698
699,0.125,699
700,0.125,700
701,0.125,701
702,0.125,702
703,0.125,703
704,0.125,704
705,0.125,705
706,0.125,706
707,0.125,707
708,0.125,708
709,0.125,709
710,0.125,710
711,0.125,711
712,0.125,712
713,0.125,713
714,0.125,714
715,0.125,715
716,0.125,716
717,0.125,717
718,0.125,718
719,0.125,719
720,0.125,720
721,0.125,721
722,0.125,722
723,0.125,723
724,0.125,724
725,0.125,725
726,0.125,726
727,0.125,727
728,0.125,728
729,0.125,729
730,0.125,730
731,0.125,731
732,0.1875,732
733,0.1875,733
734,0.1875,734
735,0.1875,735
736,0.125,736
737,0.125,737
738,0.125,738
739,0.125,739
740,0.125,740
741,0.125,741
742,0.125,742
743,0.125,743
744,0.125,744
745,0.125,745
746,0.125,746
747,0.125,747
748,0.125,748
749,0.125,749
750,0.125,750
751,0.125,751
752,0.125,752
753,0.125,753
754,0.125,754
755,0.125,755
756,0.125,756
757,0.125,757
758,0.125,758
759,0.125,759
760,0.125,760
761,0.125,761
762,0.125,762
763,0.125,763
764,0.125,764
765,0.125,765
766,0.125,766
767,0.125,767
768,0.125,768
769,0.125,769
770,0.125,770
771,0.125,771
772,0.125,772
773,0.125,773
774,0.125,774
775,0.125,775
