,potential,iteration,max_steps
0,0.125,9,10
1,0.125,9,10
2,0.1875,9,10
3,0.25,9,10
4,0.125,9,10
5,0.375,9,10
6,0.1875,9,10
7,0.125,9,10
8,0.1875,9,10
9,0.3125,9,10
10,0.125,9,10
11,0.125,9,10
12,0.25,9,10
13,0.125,9,10
14,0.125,9,10
15,0.125,9,10
16,0.5,9,10
17,0.25,9,10
18,0.125,9,10
19,0.125,9,10
20,0.125,9,10
21,0.25,9,10
22,0.375,9,10
23,0.125,9,10
24,0.0625,9,10
25,0.125,9,10
26,0.125,9,10
27,0.125,9,10
28,0.25,9,10
29,0.25,9,10
30,0.125,99,100
31,0.4375,99,100
32,0.125,99,100
33,0.125,99,100
34,0.3125,99,100
35,0.25,99,100
36,0.375,99,100
37,0.125,99,100
38,0.125,99,100
39,0.0625,99,100
40,0.125,99,100
41,0.125,99,100
42,0.125,99,100
43,0.375,99,100
44,0.125,99,100
45,0.25,99,100
46,0.3125,99,100
47,0.125,99,100
48,0.125,99,100
49,0.375,99,100
50,0.125,99,100
51,0.25,99,100
52,0.0625,99,100
53,0.1875,99,100
54,0.125,99,100
55,0.34375,99,100
56,0.125,99,100
57,0.125,99,100
58,0.125,99,100
59,0.125,99,100
60,0.125,999,1000
61,0.0625,999,1000
62,0.125,999,1000
63,0.09375,999,1000
64,0.125,999,1000
65,0.125,999,1000
66,0.0625,999,1000
67,0.125,999,1000
68,0.125,999,1000
69,0.0625,999,1000
70,0.0625,999,1000
71,0.125,999,1000
72,0.0625,999,1000
73,0.0625,999,1000
74,0.0625,999,1000
75,0.125,999,1000
76,0.0,968,1000
77,0.125,999,1000
78,0.125,999,1000
79,0.125,999,1000
80,0.0625,999,1000
81,0.0625,999,1000
82,0.125,999,1000
83,0.125,999,1000
84,0.0625,999,1000
85,0.0625,999,1000
86,0.0,562,1000
87,0.0625,999,1000
88,0.0625,999,1000
89,0.125,999,1000
90,0.0,3846,10000
91,0.0,1684,10000
92,0.03125,9999,10000
93,0.0,3456,10000
94,0.0,2331,10000
95,0.0,1874,10000
96,0.0,3710,10000
97,0.0,2527,10000
98,0.0,2004,10000
99,0.0,1066,10000
100,0.0,7550,10000
101,0.0,1259,10000
102,0.0,2302,10000
103,0.0,1543,10000
104,0.0,3081,10000
105,0.0,2527,10000
106,0.0,1854,10000
107,0.0,2380,10000
108,0.0,534,10000
109,0.0,3209,10000
110,0.0,2321,10000
111,0.0,3411,10000
112,0.0,2297,10000
113,0.0,2720,10000
114,0.0,1585,10000
115,0.0,1103,10000
116,0.0,2474,10000
117,0.0,3061,10000
118,0.0,6221,10000
119,0.0,3465,10000
120,0.0,2187,100000
121,0.0,1359,100000
122,0.0,3282,100000
123,0.0,2290,100000
124,0.0,1329,100000
125,0.0,3223,100000
126,0.0,2894,100000
127,0.0,3014,100000
128,0.0,1954,100000
129,0.0,1533,100000
130,0.0,1335,100000
131,0.0,5776,100000
132,0.0,1826,100000
133,0.0,1180,100000
134,0.0,2012,100000
135,0.0,2020,100000
136,0.0,1994,100000
137,0.0,1439,100000
138,0.0,5896,100000
139,0.0,3041,100000
140,0.0,3679,100000
141,0.0,4291,100000
142,0.0,2458,100000
143,0.0,3148,100000
144,0.0,975,100000
145,0.0,3061,100000
146,0.0,1046,100000
147,0.0,2841,100000
148,0.0,1237,100000
149,0.0,2735,100000
150,0.0,1144,1000000
151,0.0,1161,1000000
152,0.0,921,1000000
153,0.0,2427,1000000
154,0.0,5640,1000000
155,0.0,1372,1000000
156,0.0,2495,1000000
157,0.0,3953,1000000
158,0.0,1637,1000000
159,0.0,1237,1000000
160,0.0,1601,1000000
161,0.0,1086,1000000
162,0.0,2674,1000000
163,0.0,8854,1000000
164,0.0,2942,1000000
165,0.0,7407,1000000
166,0.0,1737,1000000
167,0.0,3693,1000000
168,0.0,1692,1000000
169,0.0,907,1000000
170,0.0,2679,1000000
171,0.0,4944,1000000
172,0.0,2701,1000000
173,0.0,2398,1000000
174,0.0,2357,1000000
175,0.0,2366,1000000
176,0.0,2867,1000000
177,0.0,1658,1000000
178,0.0,3479,1000000
179,0.0,1671,1000000
