,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,1003,5000,25.0,"['geom', 0.99]",15,5,0.06
1,0.0,761,5000,25.0,"['geom', 0.99]",15,5,0.06
2,0.0,1702,5000,25.0,"['geom', 0.99]",15,5,0.06
3,0.0,704,5000,25.0,"['geom', 0.99]",15,5,0.06
4,0.0,682,5000,25.0,"['geom', 0.99]",15,5,0.06
5,0.0,1212,5000,25.0,"['geom', 0.99]",15,5,0.06
6,0.0,669,5000,25.0,"['geom', 0.99]",15,5,0.06
7,0.0,2784,5000,25.0,"['geom', 0.99]",15,5,0.06
8,0.0,733,5000,25.0,"['geom', 0.99]",15,5,0.06
9,0.0,1008,5000,25.0,"['geom', 0.99]",15,5,0.06
10,0.0,650,5000,25.0,"['geom', 0.99]",15,5,0.06
11,0.0,3030,5000,25.0,"['geom', 0.99]",15,5,0.06
12,0.0,671,5000,25.0,"['geom', 0.99]",15,5,0.06
13,0.0,879,5000,25.0,"['geom', 0.99]",15,5,0.06
14,0.0,1042,5000,25.0,"['geom', 0.99]",15,5,0.06
15,0.0,1072,5000,25.0,"['geom', 0.99]",15,5,0.06
16,0.0,2235,5000,25.0,"['geom', 0.99]",15,5,0.06
17,0.0,3894,5000,25.0,"['geom', 0.99]",15,5,0.06
18,0.0,1353,5000,25.0,"['geom', 0.99]",15,5,0.06
19,0.0,668,5000,25.0,"['geom', 0.99]",15,5,0.06
20,0.0,3069,5000,25.0,"['geom', 0.99]",15,5,0.06
21,0.0,1301,5000,25.0,"['geom', 0.99]",15,5,0.06
22,0.0,1521,5000,25.0,"['geom', 0.99]",15,5,0.06
23,0.0,1046,5000,25.0,"['geom', 0.99]",15,5,0.06
24,0.0,2735,5000,25.0,"['geom', 0.99]",15,5,0.06
25,0.0,1837,5000,25.0,"['geom', 0.99]",15,5,0.06
26,0.0,2549,5000,25.0,"['geom', 0.99]",15,5,0.06
27,0.0,933,5000,25.0,"['geom', 0.99]",15,5,0.06
28,0.0,908,5000,25.0,"['geom', 0.99]",15,5,0.06
29,0.0,1052,5000,25.0,"['geom', 0.99]",15,5,0.06
30,0.0,1376,5000,25.0,"['geom', 0.99]",15,5,0.06
31,0.0,874,5000,25.0,"['geom', 0.99]",15,5,0.06
32,0.0,1462,5000,25.0,"['geom', 0.99]",15,5,0.06
33,0.0,1080,5000,25.0,"['geom', 0.99]",15,5,0.06
34,0.0,1276,5000,25.0,"['geom', 0.99]",15,5,0.06
35,0.0,1864,5000,25.0,"['geom', 0.99]",15,5,0.06
36,0.0,2559,5000,25.0,"['geom', 0.99]",15,5,0.06
37,0.0,2538,5000,25.0,"['geom', 0.99]",15,5,0.06
38,0.0,871,5000,25.0,"['geom', 0.99]",15,5,0.06
39,0.0,879,5000,25.0,"['geom', 0.99]",15,5,0.06
40,0.0,955,5000,25.0,"['geom', 0.99]",15,5,0.06
41,0.0,1487,5000,25.0,"['geom', 0.99]",15,5,0.06
42,0.0,2074,5000,25.0,"['geom', 0.99]",15,5,0.06
43,0.0,1069,5000,25.0,"['geom', 0.99]",15,5,0.06
44,0.0,1093,5000,25.0,"['geom', 0.99]",15,5,0.06
45,0.0,4541,5000,25.0,"['geom', 0.99]",15,5,0.06
46,0.0,1367,5000,25.0,"['geom', 0.99]",15,5,0.06
47,0.0,988,5000,25.0,"['geom', 0.99]",15,5,0.06
48,0.0,1567,5000,25.0,"['geom', 0.99]",15,5,0.06
49,0.0,3467,5000,25.0,"['geom', 0.99]",15,5,0.06
50,0.0,544,5000,25.0,"['geom', 0.99]",15,5,0.06
51,0.0,3567,5000,25.0,"['geom', 0.99]",15,5,0.06
52,0.0,1360,5000,25.0,"['geom', 0.99]",15,5,0.06
53,0.0,3316,5000,25.0,"['geom', 0.99]",15,5,0.06
54,0.0,2146,5000,25.0,"['geom', 0.99]",15,5,0.06
55,0.0,850,5000,25.0,"['geom', 0.99]",15,5,0.06
56,0.0,2704,5000,25.0,"['geom', 0.99]",15,5,0.06
57,0.0,2197,5000,25.0,"['geom', 0.99]",15,5,0.06
58,0.0,1004,5000,25.0,"['geom', 0.99]",15,5,0.06
59,0.0,1023,5000,25.0,"['geom', 0.99]",15,5,0.06
60,0.0,2684,5000,25.0,"['geom', 0.99]",15,5,0.06
61,0.0,897,5000,25.0,"['geom', 0.99]",15,5,0.06
62,0.0,725,5000,25.0,"['geom', 0.99]",15,5,0.06
63,0.0,3474,5000,25.0,"['geom', 0.99]",15,5,0.06
64,0.0,1595,5000,25.0,"['geom', 0.99]",15,5,0.06
65,0.0,676,5000,25.0,"['geom', 0.99]",15,5,0.06
66,0.0,2398,5000,25.0,"['geom', 0.99]",15,5,0.06
67,0.0,3105,5000,25.0,"['geom', 0.99]",15,5,0.06
68,0.0,1557,5000,25.0,"['geom', 0.99]",15,5,0.06
69,0.0,4387,5000,25.0,"['geom', 0.99]",15,5,0.06
70,0.0,1288,5000,25.0,"['geom', 0.99]",15,5,0.06
71,0.0,1369,5000,25.0,"['geom', 0.99]",15,5,0.06
72,0.0,896,5000,25.0,"['geom', 0.99]",15,5,0.06
73,0.0,1668,5000,25.0,"['geom', 0.99]",15,5,0.06
74,0.0,2774,5000,25.0,"['geom', 0.99]",15,5,0.06
75,0.0,1933,5000,25.0,"['geom', 0.99]",15,5,0.06
76,0.0,2925,5000,25.0,"['geom', 0.99]",15,5,0.06
77,0.0,878,5000,25.0,"['geom', 0.99]",15,5,0.06
78,0.0,726,5000,25.0,"['geom', 0.99]",15,5,0.06
79,0.0,998,5000,25.0,"['geom', 0.99]",15,5,0.06
80,0.0,1073,5000,25.0,"['geom', 0.99]",15,5,0.06
81,0.0,1008,5000,25.0,"['geom', 0.99]",15,5,0.06
82,0.0,1139,5000,25.0,"['geom', 0.99]",15,5,0.06
83,0.0,2880,5000,25.0,"['geom', 0.99]",15,5,0.06
84,0.0,757,5000,25.0,"['geom', 0.99]",15,5,0.06
85,0.0,847,5000,25.0,"['geom', 0.99]",15,5,0.06
86,0.0,878,5000,25.0,"['geom', 0.99]",15,5,0.06
87,0.0,1003,5000,25.0,"['geom', 0.99]",15,5,0.06
88,0.0,1516,5000,25.0,"['geom', 0.99]",15,5,0.06
89,0.0,1171,5000,25.0,"['geom', 0.99]",15,5,0.06
90,0.0,1182,5000,25.0,"['geom', 0.99]",15,5,0.06
