,potential,iteration
0,0.0,4472
1,0.0,158
2,0.0,325
3,0.0,2663
4,0.0,2122
5,0.0,374
6,0.0,652
7,0.0,2592
8,0.0,1220
9,0.0,4702
10,0.0,4689
11,0.0,212
12,0.0,941
13,0.03125,4999
14,0.0,466
15,0.0,58
16,0.0,294
17,0.0,2778
18,0.0,3865
19,0.0,75
20,0.03125,4999
21,0.0,47
22,0.03125,4999
23,0.0,142
24,0.03125,4999
25,0.0,2031
26,0.0,884
27,0.0,375
28,0.0,429
29,0.0,2958
30,0.0,719
31,0.0,241
32,0.03125,4999
33,0.0,2224
34,0.03125,4999
35,0.0,1049
36,0.0,201
37,0.0,1927
38,0.0,2174
39,0.0,704
40,0.03125,4999
41,0.0,545
42,0.0,1368
43,0.0,4667
44,0.0,516
45,0.0,2873
46,0.0,472
47,0.0,38
48,0.0,2339
49,0.03125,4999
50,0.0,1714
51,0.03125,4999
52,0.0,2386
53,0.0,1094
54,0.0,536
55,0.0,1172
56,0.0,378
57,0.0,517
58,0.0,3392
59,0.0,1029
60,0.03125,4999
61,0.0,1915
62,0.0,4615
63,0.0,372
64,0.0,230
65,0.0,628
66,0.0,3756
67,0.0,554
68,0.0,527
69,0.03125,4999
70,0.0,436
71,0.03125,4999
72,0.0,336
73,0.0,1011
74,0.0,448
75,0.03125,4999
76,0.03125,4999
77,0.0,904
78,0.0,2013
79,0.0,242
80,0.03125,4999
81,0.03125,4999
82,0.0,874
83,0.0,2827
84,0.0,1819
85,0.0,2579
86,0.0,4192
87,0.03125,4999
88,0.0,3541
89,0.0,618
90,0.0,2648
91,0.0,498
92,0.0,2876
93,0.03125,4999
94,0.0,739
95,0.0,2311
96,0.0,11
97,0.0,524
98,0.03125,4999
99,0.0,566
100,0.0,4556
101,0.0,2235
102,0.0,660
103,0.0,501
104,0.0,1083
105,0.0,160
106,0.0,102
107,0.0,560
108,0.0,115
109,0.03125,4999
110,0.03125,4999
111,0.0,53
112,0.0,2813
113,0.0,305
114,0.0,1039
115,0.0,502
116,0.0,432
117,0.03125,4999
118,0.0,4358
119,0.0,2755
120,0.0,2246
121,0.0,112
122,0.03125,4999
123,0.0,1232
124,0.03125,4999
125,0.0,1884
126,0.0,4515
127,0.0,1146
128,0.0,505
129,0.03125,4999
130,0.03125,4999
131,0.0,313
132,0.0,349
133,0.0,244
134,0.0,4609
135,0.0,2587
136,0.0,1320
137,0.0,1818
138,0.0,784
139,0.0,143
140,0.0,2135
141,0.0,2302
142,0.0,2045
143,0.0,2580
144,0.03125,4999
145,0.0,579
146,0.0,135
147,0.0,3462
148,0.0,4634
149,0.0,1077
150,0.03125,4999
151,0.0,372
152,0.03125,4999
153,0.0,4994
154,0.03125,4999
155,0.0,998
156,0.0,753
157,0.03125,4999
158,0.03125,4999
159,0.0,535
160,0.0,3348
161,0.0,1878
162,0.0,326
163,0.0,1251
164,0.0,2214
165,0.0,3165
166,0.0,567
167,0.03125,4999
168,0.0,2170
169,0.0,4874
170,0.03125,4999
171,0.0,3639
172,0.03125,4999
173,0.03125,4999
174,0.0,1322
175,0.0,47
176,0.0,416
177,0.03125,4999
178,0.0,350
179,0.0,278
180,0.03125,4999
181,0.03125,4999
182,0.0,2604
183,0.0,202
184,0.0,662
185,0.0,4308
186,0.0,4982
187,0.0,1558
188,0.03125,4999
189,0.03125,4999
190,0.03125,4999
191,0.0,1229
192,0.0,1809
193,0.0,3392
194,0.0,378
195,0.0,309
196,0.0,1091
197,0.0,276
198,0.0,969
199,0.0,1341
