,potential,iteration
0,0.0,1783
1,0.0,143
2,0.0,654
3,0.0,2938
4,0.0,139
5,0.03125,4999
6,0.0,2606
7,0.03125,4999
8,0.0,175
9,0.0,116
10,0.0,22
11,0.0,532
12,0.0,659
13,0.0,1139
14,0.0,154
15,0.0,645
16,0.03125,4999
17,0.0,4421
18,0.0,454
19,0.0,329
20,0.03125,4999
21,0.0,2505
22,0.0,2925
23,0.0,1170
24,0.0,4285
25,0.03125,4999
26,0.0,1996
27,0.0,759
28,0.03125,4999
29,0.0,2609
30,0.0,229
31,0.0,3735
32,0.0,197
33,0.0,1482
34,0.0,3185
35,0.0,1177
36,0.0,355
37,0.03125,4999
38,0.0,767
39,0.0,246
40,0.0,4905
41,0.0,363
42,0.0,104
43,0.0,2965
44,0.0,190
45,0.0,1841
46,0.0,25
47,0.0,2343
48,0.0,1734
49,0.03125,4999
50,0.0,1319
51,0.0,3179
52,0.0,101
53,0.0,434
54,0.0,948
55,0.0,1764
56,0.0,2940
57,0.0,2164
58,0.03125,4999
59,0.0,3384
60,0.0,1819
61,0.03125,4999
62,0.0,2834
63,0.0,394
64,0.03125,4999
65,0.0,2404
66,0.0,1045
67,0.0,1023
68,0.0,960
69,0.0,3332
70,0.0,374
71,0.0,1093
72,0.0,91
73,0.0,1515
74,0.03125,4999
75,0.03125,4999
76,0.0,1742
77,0.0,4077
78,0.0,2426
79,0.0,1377
80,0.0,628
81,0.0,2730
82,0.03125,4999
83,0.0,1189
84,0.0,6
85,0.0,918
86,0.03125,4999
87,0.0,828
88,0.0,721
89,0.0,1457
90,0.0,945
91,0.0,452
92,0.03125,4999
93,0.0,853
94,0.0,4006
95,0.03125,4999
96,0.0,1872
97,0.0,1372
98,0.0,609
99,0.0,4143
100,0.0,676
101,0.0,1173
102,0.0,2673
103,0.0,224
104,0.0,1044
105,0.0,509
106,0.0,4919
107,0.0,249
108,0.0,1743
109,0.0,4427
110,0.0,798
111,0.0,2409
112,0.0,4898
113,0.03125,4999
114,0.0,1033
115,0.0,4541
116,0.0,38
117,0.0,3533
118,0.0,1284
119,0.0,3280
120,0.0,1991
121,0.0,913
122,0.0,998
123,0.0,1328
124,0.0,737
125,0.03125,4999
126,0.0,77
127,0.0,905
128,0.0,2384
129,0.0,3827
130,0.0,2385
131,0.0,292
132,0.0,843
133,0.03125,4999
134,0.0,217
135,0.03125,4999
136,0.0,909
137,0.0,414
138,0.03125,4999
139,0.03125,4999
140,0.03125,4999
141,0.0,4327
142,0.0,1311
143,0.0,217
144,0.0,144
145,0.0,1525
146,0.0,1241
147,0.0,1253
148,0.0,174
149,0.0,778
150,0.0,4648
151,0.0,15
152,0.03125,4999
153,0.03125,4999
154,0.0,535
155,0.03125,4999
156,0.0,533
157,0.0,193
158,0.0,2005
159,0.0,1627
160,0.0,3138
161,0.0,259
162,0.03125,4999
163,0.0,4494
164,0.0,369
165,0.0,3139
166,0.0,90
167,0.0,944
168,0.03125,4999
169,0.0,1784
170,0.0,12
171,0.03125,4999
172,0.0,2818
173,0.0,1036
174,0.0,474
175,0.0,648
176,0.0,308
177,0.0,494
178,0.0,1780
179,0.0,1140
180,0.03125,4999
181,0.0,158
182,0.0,4924
183,0.0,2191
184,0.0,1406
185,0.03125,4999
186,0.0,1760
187,0.0,3905
188,0.0,2613
189,0.0,114
190,0.0,86
191,0.0,2723
192,0.0,856
193,0.0,1331
194,0.0,468
195,0.0,2730
196,0.0,2352
197,0.0,1981
198,0.0,201
199,0.0,230
