,potential,iteration
0,0.0,2908
1,0.0,158
2,0.0,1649
3,0.0,1619
4,0.0,269
5,0.0,230
6,0.0,612
7,0.0,1433
8,0.0,3784
9,0.21875,4999
10,0.0,154
11,0.0,204
12,0.0,2998
13,0.0,1606
14,0.0,353
15,0.0,1558
16,0.0,520
17,0.0,533
18,0.0,1000
19,0.0,1915
20,0.0,2194
21,0.0,2245
22,0.0,103
23,0.0,1270
24,0.0,1904
25,0.0,1268
26,0.0,449
27,0.0,2498
28,0.0,2224
29,0.0,755
30,0.0,1529
31,0.0,1020
32,0.0,1469
33,0.0,262
34,0.0,2897
35,0.0,1350
36,0.0,903
37,0.0,1916
38,0.0,3467
39,0.0,622
40,0.0,529
41,0.0,1397
42,0.0,1666
43,0.0,5
44,0.0,669
45,0.0,1342
46,0.0,614
47,0.21875,4999
48,0.0,1944
49,0.0,2715
50,0.0,1707
51,0.0,2703
52,0.0,95
53,0.0,662
54,0.0,3663
55,0.0,3276
56,0.0,1003
57,0.0,1103
58,0.0,557
59,0.0,572
60,0.0,707
61,0.0,1764
62,0.0,3372
63,0.0,2595
64,0.0,2295
65,0.0,3341
66,0.0,1521
67,0.0,974
68,0.21875,4999
69,0.0,1387
70,0.15625,4999
71,0.0,941
72,0.0,853
73,0.0,210
74,0.0,2195
75,0.0,1016
76,0.0,745
77,0.0,628
78,0.0,4385
79,0.0,887
80,0.0,1651
81,0.0,863
82,0.0,20
83,0.0,1979
84,0.0,1149
85,0.0,245
86,0.0,780
87,0.0,1367
88,0.0,4641
89,0.0,106
90,0.0,124
91,0.0,845
92,0.0,936
93,0.0,1149
94,0.0,1464
95,0.0,374
96,0.0,522
97,0.0,138
98,0.0,1810
99,0.0,2148
100,0.0,128
101,0.0,1687
102,0.0,818
103,0.0,533
104,0.0,3958
105,0.0,1360
106,0.0,1261
107,0.0,1072
108,0.0,206
109,0.0,247
110,0.0,1503
111,0.0,1951
112,0.09375,4999
113,0.0,975
114,0.0,465
115,0.0,685
116,0.0,103
117,0.0,2624
118,0.0,2038
119,0.0,117
120,0.0,2570
121,0.0,2321
122,0.0,98
123,0.0,975
124,0.0,110
125,0.0,2513
126,0.0,423
127,0.0,364
128,0.0,449
129,0.0,1175
130,0.0,550
131,0.0,420
132,0.0,1758
133,0.0,555
134,0.0,1252
135,0.0,3882
136,0.21875,4999
137,0.0,3693
138,0.0,2018
139,0.0,2336
140,0.0,1194
141,0.0,283
142,0.0,3394
143,0.0,4542
144,0.0,138
145,0.0,597
146,0.0,496
147,0.0,445
148,0.03125,4999
149,0.0,2052
150,0.0,1397
151,0.0,109
152,0.0,1444
153,0.0,286
154,0.0,1041
155,0.0,347
156,0.0,2530
157,0.0,950
158,0.0,4253
159,0.0,2095
160,0.0,1525
161,0.0,1212
162,0.0,1038
163,0.0,596
164,0.0,1327
165,0.0,554
166,0.0,2217
167,0.0,305
168,0.0,56
169,0.0,803
170,0.0,327
171,0.0,885
172,0.0,3087
173,0.0,867
174,0.0,215
175,0.0,638
176,0.0,427
177,0.0,655
178,0.0,1740
179,0.0,164
180,0.0,457
181,0.0,1254
182,0.0,754
183,0.0,296
184,0.0,4986
185,0.0,428
186,0.0,2170
187,0.0,1656
188,0.0,1182
189,0.0,177
190,0.0,3985
191,0.0,3005
192,0.0,991
193,0.0,2455
194,0.0,914
195,0.0,966
196,0.0,864
197,0.0,388
198,0.0,519
199,0.0,2311
