,potential,step
0,0.28125,0
1,0.21875,1
2,0.21875,2
3,0.21875,3
4,0.21875,4
5,0.21875,5
6,0.21875,6
7,0.21875,7
8,0.21875,8
9,0.21875,9
10,0.21875,10
11,0.21875,11
12,0.21875,12
13,0.21875,13
14,0.21875,14
15,0.21875,15
16,0.21875,16
17,0.21875,17
18,0.21875,18
19,0.28125,19
20,0.40625,20
21,0.40625,21
22,0.40625,22
23,0.40625,23
24,0.40625,24
25,0.40625,25
26,0.28125,26
27,0.21875,27
28,0.21875,28
29,0.21875,29
30,0.21875,30
31,0.125,31
32,0.125,32
33,0.125,33
34,0.09375,34
35,0.125,35
36,0.09375,36
37,0.09375,37
38,0.09375,38
39,0.03125,39
40,0.03125,40
41,0.03125,41
42,0.09375,42
43,0.09375,43
44,0.09375,44
45,0.03125,45
46,0.03125,46
47,0.03125,47
48,0.03125,48
49,0.03125,49
50,0.03125,50
51,0.03125,51
52,0.03125,52
53,0.03125,53
54,0.03125,54
55,0.03125,55
56,0.15625,56
57,0.15625,57
58,0.15625,58
59,0.15625,59
60,0.03125,60
61,0.03125,61
62,0.03125,62
63,0.03125,63
64,0.03125,64
65,0.03125,65
66,0.03125,66
67,0.03125,67
68,0.03125,68
69,0.03125,69
70,0.15625,70
71,0.15625,71
72,0.15625,72
73,0.03125,73
74,0.03125,74
75,0.03125,75
76,0.03125,76
77,0.03125,77
78,0.03125,78
79,0.15625,79
80,0.15625,80
81,0.15625,81
82,0.15625,82
83,0.03125,83
84,0.03125,84
85,0.21875,85
86,0.21875,86
87,0.21875,87
88,0.21875,88
89,0.09375,89
90,0.28125,90
91,0.28125,91
92,0.15625,92
93,0.15625,93
94,0.15625,94
95,0.15625,95
96,0.15625,96
97,0.03125,97
98,0.03125,98
99,0.03125,99
100,0.03125,100
101,0.03125,101
102,0.28125,102
103,0.28125,103
104,0.28125,104
105,0.28125,105
106,0.21875,106
107,0.15625,107
108,0.21875,108
109,0.21875,109
110,0.21875,110
111,0.21875,111
112,0.21875,112
113,0.21875,113
114,0.03125,114
115,0.03125,115
116,0.03125,116
117,0.21875,117
118,0.21875,118
119,0.21875,119
120,0.21875,120
121,0.21875,121
122,0.21875,122
123,0.46875,123
124,0.28125,124
125,0.03125,125
126,0.03125,126
127,0.03125,127
128,0.03125,128
129,0.03125,129
130,0.03125,130
131,0.03125,131
132,0.03125,132
133,0.03125,133
134,0.03125,134
135,0.03125,135
136,0.03125,136
137,0.03125,137
138,0.03125,138
139,0.03125,139
140,0.03125,140
141,0.03125,141
142,0.03125,142
143,0.03125,143
144,0.03125,144
145,0.03125,145
146,0.03125,146
147,0.03125,147
148,0.03125,148
149,0.03125,149
150,0.03125,150
151,0.03125,151
152,0.09375,152
153,0.09375,153
154,0.09375,154
155,0.03125,155
156,0.09375,156
157,0.09375,157
158,0.09375,158
159,0.09375,159
160,0.03125,160
161,0.03125,161
162,0.03125,162
163,0.03125,163
164,0.03125,164
165,0.21875,165
166,0.03125,166
167,0.28125,167
168,0.46875,168
169,0.46875,169
170,0.46875,170
171,0.21875,171
172,0.21875,172
173,0.09375,173
174,0.03125,174
175,0.03125,175
176,0.03125,176
177,0.03125,177
178,0.03125,178
179,0.03125,179
180,0.03125,180
181,0.03125,181
182,0.03125,182
183,0.03125,183
184,0.03125,184
185,0.03125,185
186,0.03125,186
187,0.03125,187
188,0.03125,188
189,0.03125,189
190,0.03125,190
191,0.40625,191
192,0.46875,192
193,0.21875,193
194,0.21875,194
195,0.21875,195
196,0.21875,196
197,0.21875,197
198,0.21875,198
199,0.21875,199
200,0.21875,200
201,0.21875,201
202,0.15625,202
203,0.15625,203
204,0.15625,204
205,0.15625,205
206,0.15625,206
207,0.15625,207
208,0.15625,208
209,0.15625,209
210,0.15625,210
211,0.15625,211
212,0.09375,212
213,0.34375,213
214,0.21875,214
215,0.21875,215
216,0.15625,216
217,0.15625,217
218,0.15625,218
219,0.15625,219
220,0.15625,220
221,0.09375,221
222,0.03125,222
223,0.03125,223
224,0.03125,224
225,0.03125,225
226,0.03125,226
227,0.03125,227
228,0.03125,228
229,0.28125,229
230,0.28125,230
231,0.28125,231
232,0.28125,232
233,0.03125,233
234,0.03125,234
235,0.03125,235
236,0.03125,236
237,0.03125,237
238,0.03125,238
239,0.03125,239
240,0.03125,240
241,0.03125,241
242,0.03125,242
243,0.03125,243
244,0.03125,244
245,0.03125,245
246,0.03125,246
247,0.03125,247
248,0.03125,248
249,0.03125,249
250,0.03125,250
251,0.03125,251
252,0.03125,252
253,0.03125,253
254,0.03125,254
255,0.03125,255
256,0.03125,256
257,0.03125,257
258,0.03125,258
259,0.03125,259
260,0.28125,260
261,0.03125,261
262,0.03125,262
