,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
0,0.5,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
1,0.0,2666,0.532,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
2,0.4375,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
3,0.5,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
4,0.0,1312,0.262,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
5,0.0,1472,0.294,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
6,0.5,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
7,0.46875,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
8,0.5,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
9,0.0,3049,0.608,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
10,0.375,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
11,0.4375,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
12,0.0,2536,0.506,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
13,0.5,5000,1.0,5000,10,['const'],15,5,0.06,8,"['gaussian', 1]","[10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0]"
