,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
0,0.0,3680,0.728,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
1,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
2,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
3,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
4,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
5,0.0,237,0.04,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
6,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
7,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
8,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
9,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
10,0.0,2081,0.416,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
11,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
12,0.0,4281,0.856,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
13,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
14,0.0,4437,0.88,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
15,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
16,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
17,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
18,0.0,3895,0.776,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
19,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
20,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
21,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
22,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
23,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
24,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
25,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
26,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
27,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
28,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
29,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
30,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
31,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
32,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
33,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
34,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
35,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
36,0.0,273,0.048,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
