,potential,iteration,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,temperatures
0,0.0,2508,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
1,0.0,3328,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
2,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
3,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
4,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
5,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
6,0.0,1832,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
7,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
8,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
9,0.0,1307,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
10,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
11,0.46875,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
12,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
13,0.0,2542,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
14,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
15,0.25,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
16,0.0,26,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
17,0.0,3297,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
18,0.0,2116,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
19,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
20,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
21,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
22,0.0,4392,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
23,0.0,2574,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
24,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
25,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
26,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
27,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
28,0.46875,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
29,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
30,0.0,1308,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
31,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
32,0.0,1839,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
33,0.0,100,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
34,0.0,3820,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
35,0.0,3124,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
36,0.0,3260,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
37,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
38,0.46875,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
39,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
40,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
41,0.0,840,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
42,0.0,4229,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
43,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
44,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
45,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
46,0.4375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
47,0.0,614,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
48,0.375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
49,0.0,2085,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
50,0.0,1499,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
51,0.375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
52,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
53,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
54,0.3125,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
55,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
56,0.375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
57,0.5,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
58,0.0,1020,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
59,0.375,5000,5000,10,['const'],15,5,0.06,7,"['gaussian', 1]","[10, 20, 30, 40, 50, 60, 70]"
