,potential,iteration,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,temperatures
0,0.0,2284,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
1,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
2,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
3,0.0,379,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
4,0.0,2397,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
5,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
6,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
7,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
8,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
9,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
10,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
11,0.46875,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
12,0.0,120,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
13,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
14,0.0,4898,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
15,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
16,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
17,0.46875,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
18,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
19,0.0,1528,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
20,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
21,0.0,1831,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
22,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
23,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
24,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
25,0.0,1755,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
26,0.0,832,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
27,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
28,0.0,2991,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
29,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
30,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
31,0.0,965,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
32,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
33,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
34,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
35,0.0,1362,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
36,0.0,242,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
37,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
38,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
39,0.0,3201,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
40,0.0,4223,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
41,0.0,3772,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
42,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
43,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
44,0.0,4018,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
45,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
46,0.0,553,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
47,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
48,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
49,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
