,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
0,0.0,1082,0.216,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
1,0.0,1642,0.328,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
2,0.0,1083,0.216,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
3,0.0,658,0.128,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
4,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
5,0.0,2014,0.4,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
6,0.0,752,0.144,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
7,0.0,2062,0.408,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
8,0.0,1378,0.272,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
9,0.0,3862,0.768,5000,40,['const'],15,5,0.06,44,"['gaussian', 1]","[0.01, 3.498139534883721, 6.986279069767442, 10.474418604651163, 13.962558139534885, 17.450697674418606, 20.938837209302328, 24.42697674418605, 27.91511627906977, 31.403255813953493, 34.89139534883721, 38.37953488372093, 41.86767441860465, 45.35581395348837, 48.843953488372094, 52.332093023255815, 55.82023255813954, 59.30837209302326, 62.79651162790698, 66.28465116279071, 69.77279069767442, 73.26093023255815, 76.74906976744187, 80.2372093023256, 83.72534883720931, 87.21348837209304, 90.70162790697675, 94.18976744186048, 97.6779069767442, 101.16604651162793, 104.65418604651164, 108.14232558139537, 111.63046511627908, 115.1186046511628, 118.60674418604653, 122.09488372093024, 125.58302325581397, 129.07116279069768, 132.5593023255814, 136.0474418604651, 139.53558139534883, 143.02372093023257, 146.51186046511629, 150.0]"
