,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
0,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
1,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
2,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
3,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
4,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
5,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
6,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
7,0.0,56,0.5,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
8,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
9,0.375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
10,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
11,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
12,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
13,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
14,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
15,0.3125,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
16,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
17,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
18,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
19,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
20,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
21,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
22,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
23,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
24,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
25,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
26,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
27,0.375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
28,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
29,0.25,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
30,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
31,0.375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
32,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
33,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
34,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
35,0.46875,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
36,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
37,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
38,0.375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
39,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
40,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
41,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
42,0.4375,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
43,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
44,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
45,0.5,80,1.0,100,40,['const'],15,5,0.06,7,"['gaussian', 1]","[0.01, 25.008333333333336, 50.00666666666667, 75.00500000000001, 100.00333333333334, 125.00166666666668, 150.0]"
